Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
273.93,178.98,0.014654,650.68
274.92,177.26,0.014518,649.06
275.89,175.61,0.014385,647.48
276.83,174.02,0.014256,645.94
277.75,172.48,0.014130,644.44
278.65,171.00,0.014007,642.98
279.53,169.56,0.013887,641.55
280.39,168.17,0.013770,640.15
281.23,166.82,0.013656,638.79
282.05,165.51,0.013544,637.46
282.86,164.24,0.013435,636.15
283.65,163.01,0.013327,634.87
284.43,161.81,0.013223,633.62
285.19,160.64,0.013120,632.39
285.94,159.51,0.013019,631.18
286.67,158.40,0.012920,630.00
287.39,157.32,0.012823,628.83
288.10,156.27,0.012728,627.69
288.80,155.25,0.012634,626.56
289.49,154.24,0.012542,625.46
290.16,153.27,0.012452,624.37
290.83,152.31,0.012363,623.30
291.48,151.37,0.012276,622.24
292.13,150.46,0.012190,621.20
292.76,149.56,0.012105,620.17
293.39,148.69,0.012022,619.16
294.00,147.83,0.011940,618.16
294.61,146.99,0.011860,617.18
295.21,146.16,0.011780,616.21
295.80,145.35,0.011702,615.25
296.39,144.56,0.011625,614.30
296.96,143.78,0.011548,613.37
297.53,143.02,0.011473,612.44
298.09,142.27,0.011399,611.53
298.65,141.53,0.011326,610.63
299.20,140.81,0.011254,609.74
299.74,140.10,0.011183,608.85
300.27,139.40,0.011113,607.98
300.80,138.71,0.011043,607.12
301.33,138.03,0.010975,606.26
301.84,137.37,0.010907,605.42
302.35,136.71,0.010841,604.58
302.86,136.07,0.010774,603.75
303.36,135.43,0.010709,602.93
303.86,134.81,0.010645,602.12
304.35,134.19,0.010581,601.31
304.83,133.59,0.010518,600.51
305.31,132.99,0.010456,599.72
305.78,132.40,0.010394,598.94
306.26,131.82,0.010333,598.16
306.72,131.25,0.010273,597.39
307.18,130.69,0.010213,596.63
307.64,130.13,0.010154,595.87
308.09,129.58,0.010096,595.12
308.54,129.04,0.010038,594.37
308.98,128.50,0.0099808,593.63
309.42,127.98,0.0099241,592.90
309.86,127.46,0.0098681,592.17
310.29,126.94,0.0098125,591.45
310.72,126.44,0.0097575,590.73
311.15,125.93,0.0097031,590.02
311.57,125.44,0.0096491,589.31
311.98,124.95,0.0095957,588.61
312.40,124.47,0.0095428,587.91
312.81,123.99,0.0094903,587.22
313.22,123.52,0.0094383,586.53
313.62,123.05,0.0093869,585.85
314.02,122.59,0.0093358,585.17
314.42,122.13,0.0092852,584.50
314.81,121.68,0.0092351,583.83
315.20,121.24,0.0091854,583.16
315.59,120.80,0.0091361,582.50
315.98,120.36,0.0090872,581.84
316.36,119.93,0.0090388,581.19
316.74,119.50,0.0089907,580.54
317.12,119.08,0.0089431,579.90
317.49,118.66,0.0088958,579.25
317.86,118.25,0.0088490,578.61
318.23,117.84,0.0088025,577.98
318.60,117.43,0.0087564,577.35
318.96,117.03,0.0087106,576.72
319.32,116.63,0.0086652,576.10
319.68,116.24,0.0086202,575.48
320.04,115.85,0.0085755,574.86
320.39,115.46,0.0085311,574.24
320.74,115.08,0.0084871,573.63
321.09,114.70,0.0084434,573.02
321.44,114.33,0.0084001,572.42
321.78,113.96,0.0083571,571.81
322.12,113.59,0.0083143,571.22
322.46,113.22,0.0082719,570.62
322.80,112.86,0.0082298,570.02
323.13,112.50,0.0081880,569.43
323.47,112.15,0.0081465,568.85
323.80,111.80,0.0081053,568.26
324.13,111.45,0.0080644,567.68
324.46,111.10,0.0080238,567.10
324.78,110.76,0.0079835,566.52
325.10,110.42,0.0079434,565.94
325.43,110.08,0.0079036,565.37
325.75,109.74,0.0078641,564.80
326.06,109.41,0.0078248,564.23
326.38,109.08,0.0077858,563.67
326.69,108.76,0.0077471,563.10
327.01,108.43,0.0077086,562.54
327.32,108.11,0.0076703,561.98
327.62,107.79,0.0076324,561.43
327.93,107.48,0.0075946,560.87
328.24,107.16,0.0075571,560.32
328.54,106.85,0.0075199,559.77
328.84,106.54,0.0074828,559.22
329.14,106.23,0.0074460,558.67
329.44,105.93,0.0074095,558.13
329.74,105.63,0.0073732,557.59
330.03,105.33,0.0073370,557.05
330.33,105.03,0.0073011,556.51
330.62,104.73,0.0072655,555.97
330.91,104.44,0.0072300,555.44
331.20,104.15,0.0071948,554.91
331.49,103.86,0.0071597,554.37
331.77,103.57,0.0071249,553.84
332.06,103.29,0.0070903,553.32
332.34,103.00,0.0070559,552.79
332.62,102.72,0.0070217,552.27
332.90,102.44,0.0069876,551.75
333.18,102.17,0.0069538,551.22
333.46,101.89,0.0069202,550.71
333.74,101.62,0.0068868,550.19
334.01,101.34,0.0068535,549.67
334.29,101.07,0.0068205,549.16
334.56,100.81,0.0067876,548.64
334.83,100.54,0.0067549,548.13
335.10,100.27,0.0067224,547.62
335.37,100.01,0.0066900,547.11
335.64,99.749,0.0066579,546.61
335.90,99.489,0.0066259,546.10
336.17,99.231,0.0065941,545.60
336.43,98.974,0.0065625,545.09
336.69,98.719,0.0065310,544.59
336.95,98.465,0.0064997,544.09
337.21,98.213,0.0064686,543.59
337.47,97.962,0.0064376,543.10
337.73,97.713,0.0064068,542.60
337.99,97.466,0.0063761,542.11
338.24,97.219,0.0063457,541.61
338.50,96.975,0.0063153,541.12
338.75,96.732,0.0062852,540.63
339.00,96.490,0.0062551,540.14
339.25,96.249,0.0062253,539.65
339.51,96.010,0.0061956,539.16
339.75,95.772,0.0061660,538.68
340.00,95.536,0.0061366,538.19
340.25,95.301,0.0061073,537.71
340.50,95.067,0.0060782,537.22
340.74,94.835,0.0060492,536.74
340.98,94.604,0.0060204,536.26
341.23,94.374,0.0059917,535.78
341.47,94.145,0.0059631,535.30
341.71,93.917,0.0059347,534.82
341.95,93.691,0.0059064,534.35
342.19,93.466,0.0058783,533.87
342.43,93.242,0.0058503,533.40
342.66,93.020,0.0058224,532.92
342.90,92.798,0.0057947,532.45
343.14,92.578,0.0057671,531.98
343.37,92.358,0.0057396,531.51
343.60,92.140,0.0057122,531.04
343.84,91.923,0.0056850,530.57
344.07,91.707,0.0056579,530.10
344.30,91.492,0.0056309,529.63
344.53,91.279,0.0056041,529.16
344.76,91.066,0.0055774,528.70
344.99,90.854,0.0055508,528.23
345.21,90.644,0.0055243,527.77
345.44,90.434,0.0054979,527.31
345.67,90.225,0.0054717,526.84
345.89,90.018,0.0054456,526.38
346.11,89.811,0.0054195,525.92
346.34,89.605,0.0053937,525.46
346.56,89.401,0.0053679,525.00
346.78,89.197,0.0053422,524.54
347.00,88.994,0.0053167,524.09
347.22,88.792,0.0052912,523.63
347.44,88.591,0.0052659,523.17
347.66,88.391,0.0052407,522.72
347.88,88.192,0.0052156,522.26
348.09,87.994,0.0051906,521.81
348.31,87.797,0.0051657,521.35
348.53,87.600,0.0051409,520.90
348.74,87.405,0.0051162,520.45
348.95,87.210,0.0050917,520.00
349.17,87.016,0.0050672,519.55
349.38,86.823,0.0050428,519.10
349.59,86.631,0.0050186,518.65
349.80,86.439,0.0049944,518.20
350.01,86.249,0.0049704,517.75
350.22,86.059,0.0049464,517.30
350.43,85.870,0.0049225,516.86
350.64,85.682,0.0048988,516.41
350.85,85.494,0.0048751,515.96
351.05,85.308,0.0048516,515.52
351.26,85.122,0.0048281,515.07
