Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
129.82,,0.026264,1009.1
161.13,672.19,0.020931,948.73
169.62,552.94,0.019528,931.96
175.13,492.91,0.018627,920.93
179.31,454.08,0.017948,912.47
182.72,425.91,0.017399,905.52
185.62,404.07,0.016934,899.56
188.16,386.37,0.016530,894.32
190.42,371.58,0.016171,889.61
192.47,358.93,0.015847,885.32
194.35,347.93,0.015552,881.37
196.08,338.21,0.015280,877.70
197.69,329.52,0.015028,874.27
199.20,321.69,0.014793,871.04
200.62,314.57,0.014572,867.99
201.97,308.05,0.014364,865.09
203.24,302.05,0.014167,862.32
204.46,296.49,0.013979,859.68
205.62,291.31,0.013801,857.14
206.73,286.48,0.013631,854.70
207.79,281.95,0.013468,852.35
208.82,277.69,0.013311,850.08
209.81,273.66,0.013161,847.89
210.76,269.86,0.013016,845.76
211.68,266.25,0.012876,843.70
212.58,262.82,0.012741,841.69
213.44,259.55,0.012610,839.74
214.28,256.43,0.012484,837.84
215.10,253.45,0.012361,835.99
215.89,250.60,0.012242,834.18
216.67,247.86,0.012126,832.41
217.42,245.23,0.012013,830.68
218.16,242.70,0.011903,828.99
218.87,240.26,0.011796,827.33
219.57,237.91,0.011692,825.71
220.26,235.64,0.011590,824.12
220.93,233.45,0.011491,822.55
221.59,231.33,0.011394,821.02
222.23,229.28,0.011299,819.51
222.86,227.30,0.011206,818.03
223.48,225.37,0.011115,816.57
224.09,223.50,0.011025,815.14
224.68,221.68,0.010938,813.72
225.27,219.91,0.010852,812.33
225.84,218.20,0.010768,810.96
226.40,216.52,0.010686,809.61
226.96,214.90,0.010605,808.28
227.50,213.31,0.010525,806.97
228.04,211.76,0.010447,805.67
228.57,210.25,0.010370,804.39
229.09,208.78,0.010295,803.13
229.60,207.34,0.010221,801.89
230.11,205.94,0.010148,800.65
230.61,204.56,0.010076,799.44
231.10,203.22,0.010005,798.23
231.58,201.91,0.0099353,797.04
232.06,200.62,0.0098667,795.87
232.53,199.36,0.0097990,794.71
232.99,198.13,0.0097324,793.56
233.45,196.92,0.0096667,792.42
233.90,195.73,0.0096020,791.29
234.35,194.57,0.0095381,790.17
234.79,193.43,0.0094751,789.07
235.23,192.31,0.0094130,787.97
235.66,191.22,0.0093517,786.89
236.08,190.14,0.0092911,785.82
236.50,189.08,0.0092314,784.75
236.92,188.04,0.0091724,783.70
237.33,187.02,0.0091142,782.65
237.74,186.02,0.0090566,781.62
238.14,185.03,0.0089998,780.59
238.54,184.06,0.0089436,779.57
238.93,183.10,0.0088881,778.56
239.32,182.16,0.0088332,777.56
239.71,181.24,0.0087790,776.56
240.09,180.33,0.0087254,775.58
240.46,179.43,0.0086724,774.60
240.84,178.55,0.0086200,773.63
241.21,177.68,0.0085681,772.66
241.58,176.82,0.0085168,771.70
241.94,175.98,0.0084660,770.75
242.30,175.14,0.0084158,769.81
242.66,174.32,0.0083661,768.87
243.01,173.52,0.0083170,767.94
243.36,172.72,0.0082683,767.02
243.71,171.93,0.0082201,766.10
244.05,171.15,0.0081724,765.19
244.39,170.39,0.0081251,764.28
244.73,169.63,0.0080783,763.38
245.07,168.89,0.0080320,762.48
245.40,168.15,0.0079861,761.59
245.73,167.42,0.0079406,760.71
246.05,166.71,0.0078956,759.83
246.38,166.00,0.0078510,758.96
246.70,165.30,0.0078068,758.09
247.02,164.61,0.0077630,757.22
247.34,163.92,0.0077195,756.36
247.65,163.25,0.0076765,755.51
247.96,162.58,0.0076338,754.66
248.27,161.92,0.0075916,753.82
248.58,161.27,0.0075496,752.98
248.88,160.63,0.0075081,752.14
249.19,159.99,0.0074669,751.31
249.49,159.36,0.0074260,750.48
249.78,158.74,0.0073855,749.66
250.08,158.12,0.0073453,748.84
250.37,157.51,0.0073054,748.02
250.67,156.91,0.0072659,747.21
250.95,156.31,0.0072267,746.41
251.24,155.72,0.0071878,745.60
251.53,155.13,0.0071492,744.80
251.81,154.56,0.0071109,744.01
252.09,153.98,0.0070729,743.22
252.37,153.42,0.0070352,742.43
252.65,152.86,0.0069977,741.64
252.93,152.30,0.0069606,740.86
253.20,151.75,0.0069237,740.09
253.48,151.21,0.0068872,739.31
253.75,150.67,0.0068509,738.54
254.02,150.13,0.0068148,737.77
254.28,149.60,0.0067790,737.01
254.55,149.08,0.0067435,736.25
254.81,148.56,0.0067082,735.49
255.08,148.04,0.0066732,734.73
255.34,147.53,0.0066385,733.98
255.60,147.03,0.0066039,733.23
255.85,146.53,0.0065697,732.48
256.11,146.03,0.0065356,731.74
256.37,145.54,0.0065018,731.00
256.62,145.05,0.0064682,730.26
256.87,144.57,0.0064349,729.52
257.12,144.09,0.0064018,728.79
257.37,143.61,0.0063689,728.06
257.62,143.14,0.0063362,727.33
257.86,142.67,0.0063037,726.61
258.11,142.21,0.0062714,725.89
258.35,141.75,0.0062394,725.17
258.60,141.30,0.0062076,724.45
258.84,140.84,0.0061759,723.73
259.08,140.39,0.0061445,723.02
259.31,139.95,0.0061133,722.31
259.55,139.51,0.0060822,721.60
259.79,139.07,0.0060514,720.90
