Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
263.60,2892.5,0.028190,771.47
381.89,466.01,0.017790,683.24
398.27,400.67,0.016498,670.64
408.73,365.76,0.015689,662.46
416.59,342.29,0.015088,656.24
422.96,324.77,0.014606,651.14
428.35,310.87,0.014201,646.79
433.05,299.39,0.013851,642.96
437.23,289.64,0.013541,639.53
441.00,281.18,0.013263,636.42
444.44,273.73,0.013011,633.55
447.62,267.07,0.012778,630.89
450.57,261.06,0.012564,628.40
453.33,255.59,0.012364,626.06
455.92,250.57,0.012177,623.85
458.36,245.94,0.012001,621.75
460.68,241.64,0.011834,619.76
462.89,237.63,0.011676,617.85
464.99,233.88,0.011526,616.01
467.00,230.35,0.011383,614.25
468.93,227.02,0.011246,612.56
470.78,223.87,0.011115,610.92
472.57,220.88,0.010989,609.34
474.29,218.04,0.010868,607.80
475.95,215.34,0.010751,606.32
477.56,212.75,0.010638,604.87
479.12,210.28,0.010529,603.47
480.63,207.91,0.010423,602.10
482.09,205.63,0.010321,600.76
483.52,203.44,0.010222,599.46
484.91,201.34,0.010125,598.19
486.26,199.31,0.010032,596.94
487.58,197.35,0.0099406,595.73
488.86,195.45,0.0098517,594.54
490.12,193.62,0.0097652,593.37
491.34,191.85,0.0096807,592.22
492.54,190.13,0.0095983,591.10
493.71,188.46,0.0095178,589.99
494.86,186.84,0.0094391,588.91
495.99,185.26,0.0093621,587.85
497.09,183.73,0.0092868,586.80
498.17,182.24,0.0092130,585.77
499.23,180.79,0.0091408,584.75
500.27,179.38,0.0090700,583.75
501.29,178.00,0.0090006,582.77
502.30,176.66,0.0089325,581.80
503.28,175.34,0.0088657,580.84
504.25,174.06,0.0088001,579.90
505.21,172.81,0.0087356,578.97
506.14,171.59,0.0086723,578.05
507.07,170.39,0.0086101,577.15
507.98,169.22,0.0085489,576.25
508.87,168.07,0.0084887,575.37
509.75,166.94,0.0084295,574.49
510.62,165.84,0.0083712,573.63
511.48,164.76,0.0083139,572.78
512.32,163.70,0.0082574,571.93
513.16,162.67,0.0082018,571.10
513.98,161.65,0.0081469,570.27
514.79,160.65,0.0080929,569.45
515.59,159.66,0.0080397,568.64
516.38,158.70,0.0079872,567.84
517.16,157.75,0.0079354,567.05
517.93,156.82,0.0078843,566.27
518.69,155.91,0.0078339,565.49
519.44,155.00,0.0077842,564.72
520.18,154.12,0.0077351,563.95
520.91,153.25,0.0076867,563.20
521.64,152.39,0.0076388,562.45
522.35,151.55,0.0075916,561.70
523.06,150.71,0.0075449,560.97
523.76,149.90,0.0074988,560.24
524.46,149.09,0.0074533,559.51
525.14,148.30,0.0074082,558.79
525.82,147.51,0.0073637,558.08
526.49,146.74,0.0073197,557.37
527.16,145.98,0.0072763,556.67
527.81,145.23,0.0072332,555.97
528.46,144.49,0.0071907,555.28
529.11,143.76,0.0071486,554.59
529.75,143.04,0.0071070,553.91
530.38,142.33,0.0070658,553.23
531.01,141.63,0.0070251,552.56
531.63,140.94,0.0069848,551.89
532.24,140.25,0.0069449,551.23
532.85,139.58,0.0069053,550.57
533.45,138.91,0.0068662,549.92
534.05,138.25,0.0068275,549.27
534.64,137.60,0.0067892,548.62
535.23,136.96,0.0067512,547.98
535.81,136.33,0.0067136,547.34
536.39,135.70,0.0066763,546.71
536.96,135.08,0.0066394,546.08
537.53,134.47,0.0066028,545.45
538.09,133.86,0.0065666,544.83
538.65,133.26,0.0065307,544.21
539.20,132.67,0.0064951,543.59
539.75,132.08,0.0064599,542.98
540.30,131.50,0.0064249,542.37
540.84,130.93,0.0063903,541.76
541.38,130.36,0.0063560,541.16
541.91,129.80,0.0063219,540.56
542.44,129.25,0.0062881,539.96
542.96,128.70,0.0062547,539.37
543.48,128.15,0.0062215,538.78
544.00,127.61,0.0061885,538.19
544.51,127.08,0.0061559,537.61
545.02,126.55,0.0061235,537.03
545.52,126.03,0.0060914,536.45
546.03,125.51,0.0060595,535.87
546.52,125.00,0.0060279,535.30
547.02,124.49,0.0059965,534.73
547.51,123.99,0.0059654,534.16
548.00,123.49,0.0059345,533.59
548.48,123.00,0.0059038,533.03
548.96,122.51,0.0058734,532.47
549.44,122.02,0.0058432,531.91
549.92,121.54,0.0058133,531.36
550.39,121.07,0.0057835,530.80
550.86,120.59,0.0057540,530.25
551.32,120.13,0.0057247,529.70
551.78,119.66,0.0056956,529.16
552.24,119.20,0.0056667,528.61
552.70,118.75,0.0056380,528.07
553.15,118.29,0.0056095,527.53
553.60,117.85,0.0055812,526.99
554.05,117.40,0.0055531,526.46
554.50,116.96,0.0055252,525.92
554.94,116.52,0.0054975,525.39
555.38,116.09,0.0054700,524.86
555.82,115.66,0.0054427,524.33
556.25,115.23,0.0054155,523.81
556.69,114.81,0.0053886,523.28
557.12,114.39,0.0053618,522.76
557.54,113.98,0.0053352,522.24
557.97,113.56,0.0053087,521.72
558.39,113.15,0.0052825,521.21
558.81,112.75,0.0052564,520.69
559.23,112.34,0.0052304,520.18
559.64,111.94,0.0052047,519.67
560.06,111.54,0.0051791,519.16
560.47,111.15,0.0051536,518.65
560.88,110.76,0.0051283,518.14
561.28,110.37,0.0051032,517.64
561.69,109.98,0.0050782,517.13
562.09,109.60,0.0050534,516.63
562.49,109.22,0.0050287,516.13
562.89,108.84,0.0050042,515.63
563.28,108.46,0.0049798,515.13
563.67,108.09,0.0049556,514.64
564.07,107.72,0.0049315,514.14
564.46,107.35,0.0049076,513.65
564.84,106.99,0.0048838,513.16
565.23,106.62,0.0048601,512.67
565.61,106.26,0.0048366,512.18
565.99,105.91,0.0048132,511.69
566.37,105.55,0.0047899,511.21
566.75,105.20,0.0047668,510.72
567.13,104.85,0.0047438,510.24
567.50,104.50,0.0047209,509.76
567.87,104.15,0.0046982,509.28
568.24,103.81,0.0046756,508.80
568.61,103.47,0.0046531,508.32
568.98,103.13,0.0046307,507.84
569.35,102.79,0.0046085,507.37
569.71,102.46,0.0045863,506.89
570.07,102.12,0.0045643,506.42
570.43,101.79,0.0045424,505.95
570.79,101.46,0.0045207,505.47
571.15,101.14,0.0044990,505.00
571.50,100.81,0.0044775,504.54
571.86,100.49,0.0044561,504.07
572.21,100.17,0.0044348,503.60
572.56,99.847,0.0044136,503.13
572.91,99.530,0.0043925,502.67
573.25,99.214,0.0043715,502.21
573.60,98.901,0.0043506,501.74
573.94,98.589,0.0043298,501.28
574.29,98.279,0.0043092,500.82
574.63,97.971,0.0042886,500.36
574.97,97.665,0.0042682,499.90
575.31,97.360,0.0042478,499.45
575.64,97.057,0.0042276,498.99
575.98,96.756,0.0042074,498.53
576.31,96.456,0.0041874,498.08
576.65,96.158,0.0041674,497.62
576.98,95.862,0.0041476,497.17
577.31,95.568,0.0041278,496.72
577.64,95.275,0.0041082,496.27
577.96,94.983,0.0040886,495.82
578.29,94.694,0.0040691,495.37
578.61,94.405,0.0040497,494.92
578.94,94.119,0.0040305,494.47
579.26,93.833,0.0040113,494.02
579.58,93.550,0.0039922,493.58
579.90,93.268,0.0039732,493.13
580.22,92.987,0.0039542,492.69
580.53,92.708,0.0039354,492.24
580.85,92.430,0.0039167,491.80
581.16,92.154,0.0038980,491.36
581.48,91.879,0.0038794,490.92
581.79,91.605,0.0038609,490.47
582.10,91.333,0.0038425,490.03
582.41,91.062,0.0038242,489.59
582.72,90.793,0.0038060,489.16
583.02,90.525,0.0037878,488.72
583.33,90.258,0.0037697,488.28
583.63,89.992,0.0037517,487.84
583.94,89.728,0.0037338,487.41
584.24,89.465,0.0037160,486.97
584.54,89.204,0.0036982,486.54
584.84,88.944,0.0036806,486.10
585.14,88.685,0.0036630,485.67
585.44,88.427,0.0036454,485.24
585.74,88.170,0.0036280,484.81
586.03,87.915,0.0036106,484.37
586.33,87.661,0.0035933,483.94
586.62,87.408,0.0035761,483.51
586.91,87.156,0.0035590,483.08
587.20,86.905,0.0035419,482.65
587.49,86.656,0.0035249,482.23
587.78,86.407,0.0035080,481.80
588.07,86.160,0.0034911,481.37
588.36,85.914,0.0034743,480.94
588.65,85.669,0.0034576,480.52
588.93,85.425,0.0034410,480.09
589.22,85.183,0.0034244,479.67
589.50,84.941,0.0034079,479.24
589.78,84.700,0.0033915,478.82
590.07,84.461,0.0033751,478.39
590.35,84.222,0.0033588,477.97
590.63,83.985,0.0033426,477.55
590.90,83.749,0.0033264,477.13
591.18,83.513,0.0033103,476.71
