Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
209.49,880.04,0.020973,1619.0
219.85,736.48,0.019581,1591.0
226.51,661.80,0.018696,1572.8
231.53,612.49,0.018032,1558.9
235.62,576.17,0.017496,1547.4
239.09,547.68,0.017042,1537.7
242.12,524.39,0.016647,1529.1
244.82,504.78,0.016297,1521.4
247.26,487.89,0.015982,1514.4
249.49,473.12,0.015694,1507.9
251.55,460.01,0.015429,1501.9
253.47,448.25,0.015183,1496.3
255.26,437.60,0.014953,1491.1
256.95,427.89,0.014738,1486.1
258.55,418.97,0.014535,1481.4
260.06,410.73,0.014342,1476.9
261.51,403.09,0.014160,1472.5
262.88,395.96,0.013986,1468.4
264.20,389.28,0.013819,1464.4
265.47,383.02,0.013660,1460.6
266.68,377.11,0.013507,1456.9
267.85,371.53,0.013360,1453.3
268.99,366.24,0.013218,1449.9
270.08,361.22,0.013082,1446.5
271.14,356.44,0.012949,1443.3
272.16,351.89,0.012822,1440.1
273.16,347.53,0.012698,1437.0
274.13,343.37,0.012577,1434.0
275.07,339.38,0.012461,1431.0
275.99,335.54,0.012347,1428.2
276.88,331.86,0.012237,1425.3
277.75,328.31,0.012129,1422.6
278.60,324.90,0.012024,1419.9
279.43,321.60,0.011922,1417.3
280.25,318.42,0.011822,1414.7
281.04,315.34,0.011724,1412.1
281.82,312.37,0.011629,1409.6
282.58,309.48,0.011536,1407.2
283.33,306.69,0.011444,1404.8
284.06,303.98,0.011355,1402.4
284.78,301.35,0.011267,1400.1
285.48,298.79,0.011181,1397.8
286.17,296.31,0.011097,1395.5
286.86,293.89,0.011015,1393.3
287.52,291.53,0.010933,1391.1
288.18,289.24,0.010854,1388.9
288.83,287.01,0.010776,1386.8
289.46,284.83,0.010699,1384.7
290.09,282.70,0.010623,1382.6
290.71,280.63,0.010549,1380.6
291.31,278.60,0.010476,1378.6
291.91,276.62,0.010404,1376.6
292.50,274.69,0.010333,1374.6
293.08,272.80,0.010263,1372.6
293.65,270.94,0.010194,1370.7
294.22,269.13,0.010127,1368.8
294.78,267.36,0.010060,1366.9
295.32,265.62,0.0099941,1365.0
295.87,263.92,0.0099293,1363.2
296.40,262.25,0.0098653,1361.4
296.93,260.61,0.0098023,1359.6
297.46,259.01,0.0097401,1357.8
297.97,257.43,0.0096787,1356.0
298.48,255.89,0.0096180,1354.2
298.99,254.37,0.0095582,1352.5
299.48,252.88,0.0094991,1350.8
299.98,251.42,0.0094408,1349.1
300.46,249.98,0.0093831,1347.4
300.95,248.56,0.0093262,1345.7
301.42,247.18,0.0092699,1344.0
301.89,245.81,0.0092143,1342.4
302.36,244.47,0.0091594,1340.7
302.82,243.14,0.0091050,1339.1
303.28,241.84,0.0090513,1337.5
303.73,240.56,0.0089982,1335.9
304.18,239.30,0.0089456,1334.3
304.62,238.06,0.0088936,1332.7
305.06,236.84,0.0088422,1331.2
305.49,235.64,0.0087913,1329.6
305.92,234.45,0.0087410,1328.1
306.35,233.28,0.0086911,1326.5
306.77,232.13,0.0086418,1325.0
307.19,231.00,0.0085930,1323.5
307.61,229.88,0.0085446,1322.0
308.02,228.77,0.0084967,1320.5
308.43,227.68,0.0084493,1319.0
308.83,226.61,0.0084024,1317.6
309.23,225.55,0.0083559,1316.1
309.63,224.50,0.0083098,1314.7
310.02,223.47,0.0082642,1313.2
310.41,222.45,0.0082190,1311.8
310.80,221.45,0.0081742,1310.4
311.18,220.46,0.0081297,1309.0
311.57,219.48,0.0080857,1307.5
311.94,218.51,0.0080421,1306.1
312.32,217.55,0.0079989,1304.8
312.69,216.61,0.0079560,1303.4
313.06,215.67,0.0079135,1302.0
313.43,214.75,0.0078714,1300.6
313.79,213.84,0.0078296,1299.3
314.15,212.94,0.0077882,1297.9
314.51,212.05,0.0077471,1296.6
314.87,211.17,0.0077063,1295.2
315.22,210.30,0.0076659,1293.9
315.57,209.43,0.0076258,1292.6
315.92,208.58,0.0075860,1291.2
316.26,207.74,0.0075465,1289.9
316.61,206.91,0.0075074,1288.6
316.95,206.08,0.0074685,1287.3
317.29,205.27,0.0074300,1286.0
317.62,204.46,0.0073917,1284.7
