Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
187.69,,0.033767,992.32
195.40,425.81,0.032080,979.31
200.94,370.22,0.030876,969.85
205.34,336.98,0.029926,962.28
209.02,314.40,0.029135,955.89
212.21,297.79,0.028453,950.32
215.03,284.89,0.027851,945.36
217.58,274.47,0.027311,940.86
219.89,265.81,0.026821,936.73
222.03,258.43,0.026370,932.91
224.01,252.02,0.025953,929.34
225.86,246.39,0.025564,925.99
227.61,241.36,0.025199,922.82
229.25,236.84,0.024856,919.82
230.81,232.72,0.024531,916.96
232.29,228.96,0.024222,914.23
233.71,225.48,0.023928,911.61
235.06,222.26,0.023648,909.09
236.36,219.26,0.023379,906.66
237.61,216.46,0.023121,904.32
238.82,213.82,0.022873,902.06
239.98,211.33,0.022634,899.86
241.11,208.97,0.022404,897.73
242.19,206.74,0.022181,895.67
243.25,204.62,0.021965,893.65
244.27,202.59,0.021756,891.69
245.27,200.65,0.021554,889.78
246.24,198.80,0.021357,887.91
247.18,197.02,0.021165,886.09
248.10,195.31,0.020979,884.31
248.99,193.67,0.020798,882.56
249.87,192.08,0.020621,880.85
250.72,190.55,0.020448,879.18
251.56,189.07,0.020280,877.53
252.38,187.64,0.020115,875.92
253.18,186.26,0.019954,874.34
253.96,184.92,0.019796,872.78
254.73,183.61,0.019642,871.25
255.49,182.35,0.019491,869.75
256.23,181.12,0.019343,868.26
256.95,179.92,0.019198,866.81
257.67,178.75,0.019056,865.37
258.37,177.62,0.018916,863.95
259.06,176.51,0.018779,862.56
259.73,175.43,0.018644,861.18
260.40,174.37,0.018512,859.83
261.06,173.34,0.018382,858.49
261.70,172.33,0.018254,857.16
262.34,171.35,0.018129,855.86
262.96,170.38,0.018005,854.57
263.58,169.44,0.017883,853.29
264.19,168.51,0.017763,852.03
264.79,167.61,0.017645,850.79
265.38,166.72,0.017529,849.56
265.96,165.85,0.017414,848.34
266.54,164.99,0.017301,847.14
267.11,164.15,0.017190,845.94
267.67,163.33,0.017080,844.76
268.22,162.52,0.016972,843.60
268.77,161.73,0.016865,842.44
269.31,160.94,0.016759,841.30
269.85,160.18,0.016655,840.16
270.37,159.42,0.016553,839.04
270.90,158.68,0.016451,837.92
271.41,157.95,0.016351,836.82
271.92,157.23,0.016252,835.73
272.43,156.52,0.016154,834.64
272.93,155.82,0.016058,833.57
273.42,155.14,0.015962,832.50
273.91,154.46,0.015868,831.44
274.39,153.79,0.015774,830.39
274.87,153.14,0.015682,829.35
275.34,152.49,0.015591,828.32
275.81,151.85,0.015501,827.29
276.28,151.22,0.015411,826.28
276.74,150.60,0.015323,825.27
277.19,149.99,0.015236,824.26
277.64,149.38,0.015149,823.27
278.09,148.79,0.015064,822.28
278.53,148.20,0.014979,821.30
278.97,147.61,0.014895,820.32
279.40,147.04,0.014812,819.35
279.84,146.47,0.014730,818.39
280.26,145.91,0.014648,817.44
