Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
166.00,4953.7,0.032123,1771.0
241.51,868.67,0.022149,1600.8
253.47,732.12,0.020638,1573.0
261.16,659.58,0.019678,1554.9
266.96,611.13,0.018958,1541.0
271.69,575.17,0.018377,1529.7
275.70,546.81,0.017886,1519.9
279.20,523.52,0.017459,1511.4
282.32,503.85,0.017081,1503.7
285.14,486.89,0.016740,1496.7
287.73,472.00,0.016429,1490.2
290.11,458.78,0.016143,1484.3
292.33,446.90,0.015877,1478.7
294.41,436.14,0.015630,1473.4
296.36,426.31,0.015398,1468.5
298.21,417.28,0.015179,1463.7
299.96,408.93,0.014971,1459.2
301.63,401.18,0.014775,1455.0
303.22,393.95,0.014587,1450.8
304.75,387.18,0.014408,1446.9
306.21,380.82,0.014237,1443.1
307.62,374.83,0.014073,1439.4
308.98,369.16,0.013915,1435.8
310.29,363.80,0.013762,1432.4
311.55,358.70,0.013615,1429.0
312.78,353.85,0.013473,1425.8
313.97,349.23,0.013336,1422.6
315.12,344.81,0.013203,1419.5
316.24,340.58,0.013074,1416.5
317.33,336.53,0.012949,1413.6
318.39,332.64,0.012827,1410.7
319.43,328.91,0.012709,1407.9
320.44,325.31,0.012593,1405.2
321.42,321.85,0.012481,1402.5
322.39,318.51,0.012371,1399.9
323.33,315.28,0.012264,1397.3
324.25,312.17,0.012160,1394.8
325.15,309.15,0.012058,1392.3
326.03,306.23,0.011958,1389.9
326.90,303.40,0.011860,1387.5
327.74,300.66,0.011764,1385.1
328.58,298.00,0.011671,1382.8
329.39,295.41,0.011579,1380.5
330.20,292.90,0.011489,1378.3
330.98,290.46,0.011400,1376.1
331.76,288.08,0.011314,1373.9
332.52,285.76,0.011229,1371.8
333.27,283.51,0.011145,1369.6
334.00,281.31,0.011063,1367.6
334.73,279.16,0.010982,1365.5
335.44,277.07,0.010903,1363.5
336.15,275.02,0.010825,1361.5
336.84,273.03,0.010748,1359.5
337.52,271.08,0.010672,1357.5
338.20,269.17,0.010598,1355.6
338.86,267.31,0.010525,1353.7
339.51,265.48,0.010452,1351.8
340.16,263.69,0.010381,1349.9
340.80,261.95,0.010311,1348.0
341.43,260.23,0.010242,1346.2
342.05,258.56,0.010174,1344.4
342.66,256.91,0.010107,1342.6
343.27,255.30,0.010041,1340.8
343.86,253.72,0.0099752,1339.1
344.46,252.16,0.0099107,1337.3
345.04,250.64,0.0098470,1335.6
345.62,249.15,0.0097841,1333.9
346.19,247.68,0.0097220,1332.2
346.75,246.24,0.0096607,1330.5
347.31,244.82,0.0096002,1328.9
347.86,243.43,0.0095403,1327.2
348.41,242.06,0.0094812,1325.6
