Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
216.37,2252.0,0.029731,763.31
313.09,430.36,0.019695,686.30
327.75,369.32,0.018307,674.17
337.14,337.07,0.017433,666.28
344.21,315.54,0.016782,660.27
349.95,299.56,0.016258,655.34
354.82,286.94,0.015816,651.12
359.07,276.55,0.015433,647.41
362.85,267.76,0.015094,644.09
366.27,260.16,0.014789,641.07
369.39,253.48,0.014511,638.29
372.27,247.52,0.014256,635.71
374.95,242.16,0.014019,633.30
377.46,237.28,0.013799,631.03
379.81,232.82,0.013592,628.88
382.04,228.71,0.013397,626.85
384.15,224.90,0.013212,624.91
386.16,221.35,0.013037,623.06
388.08,218.03,0.012871,621.28
389.91,214.91,0.012712,619.57
391.67,211.98,0.012559,617.93
393.36,209.20,0.012413,616.34
394.99,206.58,0.012272,614.80
396.57,204.08,0.012137,613.31
398.08,201.70,0.012007,611.87
399.56,199.43,0.011881,610.47
400.98,197.27,0.011759,609.11
402.36,195.19,0.011640,607.78
403.71,193.20,0.011526,606.48
405.01,191.29,0.011414,605.22
406.28,189.45,0.011306,603.98
407.52,187.67,0.011201,602.78
408.73,185.96,0.011098,601.60
409.91,184.31,0.010999,600.44
411.06,182.72,0.010901,599.31
412.19,181.17,0.010806,598.20
413.29,179.67,0.010713,597.11
414.36,178.22,0.010622,596.04
415.42,176.82,0.010533,594.99
416.45,175.45,0.010447,593.95
417.46,174.12,0.010361,592.94
418.46,172.83,0.010278,591.94
419.43,171.57,0.010196,590.95
420.39,170.34,0.010116,589.98
421.33,169.15,0.010038,589.03
422.25,167.99,0.0099605,588.09
423.16,166.85,0.0098847,587.16
424.06,165.74,0.0098103,586.25
424.93,164.66,0.0097372,585.35
425.80,163.60,0.0096653,584.46
426.65,162.56,0.0095946,583.58
427.49,161.55,0.0095251,582.71
428.31,160.56,0.0094566,581.85
429.12,159.59,0.0093893,581.01
429.93,158.64,0.0093230,580.17
430.72,157.71,0.0092576,579.34
431.50,156.79,0.0091933,578.53
432.26,155.90,0.0091299,577.72
433.02,155.02,0.0090674,576.92
433.77,154.16,0.0090057,576.12
434.51,153.31,0.0089450,575.34
435.24,152.48,0.0088850,574.56
435.96,151.67,0.0088259,573.80
