Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
293.81,579.21,0.022511,790.31
307.39,477.04,0.021375,777.55
316.01,425.21,0.020654,769.38
322.45,391.58,0.020111,763.20
327.66,367.15,0.019669,758.16
332.06,348.20,0.019293,753.86
335.88,332.85,0.018964,750.10
339.27,320.02,0.018671,746.72
342.33,309.06,0.018404,743.66
345.12,299.53,0.018160,740.84
347.68,291.11,0.017933,738.23
350.06,283.60,0.017722,735.78
352.28,276.83,0.017523,733.48
354.36,270.68,0.017336,731.31
356.33,265.05,0.017158,729.25
358.19,259.86,0.016989,727.28
359.96,255.07,0.016828,725.40
361.64,250.60,0.016673,723.60
363.25,246.44,0.016525,721.86
364.80,242.54,0.016382,720.19
366.28,238.87,0.016244,718.58
367.70,235.41,0.016111,717.02
369.07,232.13,0.015983,715.50
370.40,229.03,0.015858,714.03
371.68,226.08,0.015737,712.60
372.92,223.28,0.015619,711.21
374.12,220.60,0.015505,709.86
375.29,218.04,0.015393,708.53
376.42,215.59,0.015284,707.24
377.52,213.24,0.015178,705.98
378.59,210.98,0.015075,704.74
379.64,208.81,0.014973,703.53
380.66,206.72,0.014874,702.35
381.65,204.71,0.014777,701.18
382.62,202.77,0.014682,700.04
383.57,200.89,0.014589,698.92
384.50,199.08,0.014497,697.82
385.40,197.32,0.014408,696.74
386.29,195.62,0.014320,695.68
387.16,193.97,0.014233,694.63
388.02,192.37,0.014148,693.60
388.85,190.81,0.014064,692.58
389.67,189.30,0.013982,691.58
390.48,187.83,0.013901,690.59
391.27,186.40,0.013821,689.62
392.05,185.01,0.013743,688.66
392.81,183.66,0.013665,687.71
393.56,182.33,0.013589,686.78
394.30,181.04,0.013514,685.86
395.03,179.79,0.013440,684.94
395.74,178.56,0.013367,684.04
396.45,177.36,0.013295,683.15
397.14,176.18,0.013223,682.27
397.82,175.04,0.013153,681.40
398.50,173.91,0.013084,680.53
399.16,172.82,0.013015,679.68
399.81,171.74,0.012947,678.84
400.46,170.69,0.012880,678.00
401.09,169.66,0.012814,677.17
401.72,168.64,0.012749,676.35
402.34,167.65,0.012684,675.54
402.95,166.68,0.012620,674.74
403.55,165.73,0.012557,673.94
404.15,164.79,0.012494,673.15
404.74,163.87,0.012432,672.37
405.32,162.97,0.012371,671.59
405.89,162.08,0.012310,670.82
406.46,161.21,0.012250,670.05
407.02,160.35,0.012191,669.30
407.57,159.51,0.012132,668.54
