Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
103.99,685.73,0.027869,654.60
136.47,296.81,0.022028,612.70
144.07,257.99,0.020691,602.59
149.00,237.26,0.019830,595.95
152.75,223.36,0.019179,590.85
155.81,213.01,0.018650,586.66
158.42,204.83,0.018201,583.06
160.71,198.08,0.017810,579.89
162.75,192.37,0.017461,577.04
164.59,187.42,0.017145,574.44
166.29,183.06,0.016857,572.05
167.86,179.18,0.016591,569.82
169.32,175.68,0.016344,567.74
170.69,172.49,0.016112,565.78
171.97,169.58,0.015895,563.93
173.19,166.89,0.015690,562.17
174.35,164.40,0.015495,560.49
175.46,162.07,0.015310,558.88
176.51,159.90,0.015133,557.34
177.52,157.86,0.014964,555.85
178.50,155.93,0.014802,554.42
179.43,154.11,0.014646,553.04
180.33,152.38,0.014496,551.70
181.20,150.74,0.014351,550.41
182.05,149.18,0.014211,549.15
182.86,147.69,0.014076,547.93
183.66,146.26,0.013945,546.74
184.43,144.89,0.013818,545.58
185.17,143.58,0.013694,544.45
185.90,142.32,0.013575,543.34
186.61,141.11,0.013458,542.26
187.30,139.94,0.013344,541.21
187.98,138.81,0.013233,540.18
188.64,137.71,0.013125,539.16
189.28,136.66,0.013020,538.17
189.91,135.64,0.012916,537.20
190.53,134.64,0.012816,536.24
191.13,133.68,0.012717,535.31
191.73,132.75,0.012620,534.38
192.31,131.84,0.012526,533.48
192.88,130.96,0.012433,532.59
193.43,130.10,0.012342,531.71
193.98,129.26,0.012253,530.85
194.52,128.45,0.012166,529.99
195.05,127.66,0.012080,529.16
195.57,126.88,0.011996,528.33
196.09,126.12,0.011913,527.52
196.59,125.38,0.011831,526.71
197.09,124.66,0.011751,525.92
197.58,123.95,0.011673,525.14
198.06,123.26,0.011595,524.36
198.53,122.59,0.011519,523.60
199.00,121.92,0.011444,522.85
199.46,121.27,0.011370,522.10
199.91,120.64,0.011297,521.36
200.36,120.01,0.011225,520.63
200.80,119.40,0.011154,519.91
201.24,118.80,0.011084,519.20
201.67,118.21,0.011016,518.50
202.10,117.63,0.010948,517.80
202.52,117.06,0.010881,517.11
202.93,116.51,0.010814,516.42
203.34,115.96,0.010749,515.74
203.75,115.42,0.010685,515.07
204.15,114.89,0.010621,514.41
204.54,114.36,0.010558,513.75
204.93,113.85,0.010496,513.10
205.32,113.34,0.010435,512.45
