Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
190.14,642.15,0.025302,1526.3
199.97,544.22,0.023626,1499.8
206.30,493.23,0.022556,1482.6
211.08,459.52,0.021752,1469.4
214.97,434.68,0.021101,1458.6
218.28,415.17,0.020551,1449.4
221.17,399.20,0.020071,1441.2
223.75,385.74,0.019645,1433.9
226.08,374.14,0.019261,1427.2
228.21,363.98,0.018911,1421.1
230.18,354.95,0.018588,1415.4
232.02,346.84,0.018288,1410.1
233.73,339.49,0.018008,1405.1
235.35,332.78,0.017745,1400.4
236.88,326.61,0.017498,1395.9
238.33,320.90,0.017263,1391.6
239.71,315.60,0.017040,1387.5
241.03,310.64,0.016827,1383.5
242.29,306.00,0.016624,1379.8
243.50,301.64,0.016430,1376.1
244.67,297.52,0.016243,1372.6
245.79,293.62,0.016063,1369.2
246.88,289.92,0.015890,1365.9
247.92,286.41,0.015723,1362.7
248.94,283.06,0.015561,1359.6
249.92,279.86,0.015405,1356.5
250.88,276.80,0.015254,1353.6
251.81,273.87,0.015107,1350.7
252.71,271.06,0.014964,1347.9
253.59,268.36,0.014825,1345.2
254.45,265.76,0.014690,1342.5
255.28,263.25,0.014558,1339.8
256.10,260.83,0.014430,1337.3
256.90,258.50,0.014304,1334.8
257.68,256.24,0.014182,1332.3
258.44,254.05,0.014063,1329.9
259.19,251.93,0.013946,1327.5
259.92,249.88,0.013832,1325.1
260.64,247.89,0.013720,1322.8
261.34,245.95,0.013611,1320.6
262.03,244.07,0.013503,1318.3
262.71,242.24,0.013398,1316.1
263.38,240.46,0.013295,1314.0
264.03,238.73,0.013194,1311.9
264.67,237.04,0.013094,1309.8
265.30,235.39,0.012997,1307.7
265.92,233.78,0.012901,1305.7
266.54,232.21,0.012807,1303.6
267.14,230.68,0.012714,1301.7
267.73,229.18,0.012623,1299.7
268.31,227.72,0.012534,1297.8
268.89,226.28,0.012445,1295.8
269.46,224.88,0.012359,1294.0
270.01,223.51,0.012273,1292.1
270.57,222.16,0.012189,1290.2
271.11,220.85,0.012106,1288.4
271.65,219.56,0.012024,1286.6
272.17,218.29,0.011944,1284.8
272.70,217.05,0.011864,1283.1
273.21,215.83,0.011786,1281.3
273.72,214.64,0.011709,1279.6
274.22,213.46,0.011633,1277.9
274.72,212.31,0.011557,1276.2
275.21,211.18,0.011483,1274.5
275.70,210.06,0.011410,1272.8
276.18,208.97,0.011337,1271.2
276.65,207.89,0.011266,1269.5
277.12,206.83,0.011195,1267.9
277.58,205.79,0.011125,1266.3
278.04,204.77,0.011057,1264.7
278.50,203.76,0.010988,1263.1
278.95,202.77,0.010921,1261.5
279.39,201.79,0.010855,1260.0
279.83,200.83,0.010789,1258.4
280.27,199.88,0.010724,1256.9
280.70,198.94,0.010659,1255.4
281.13,198.02,0.010596,1253.9
281.55,197.12,0.010533,1252.4
281.97,196.22,0.010470,1250.9
282.38,195.34,0.010409,1249.4
282.79,194.47,0.010348,1248.0
283.20,193.61,0.010287,1246.5
283.60,192.76,0.010227,1245.1
284.00,191.92,0.010168,1243.6
284.40,191.10,0.010109,1242.2
284.79,190.28,0.010051,1240.8
285.18,189.48,0.0099938,1239.4
285.57,188.68,0.0099369,1238.0
285.95,187.90,0.0098805,1236.6
286.33,187.12,0.0098246,1235.2
286.71,186.36,0.0097692,1233.8
287.08,185.60,0.0097143,1232.5
287.45,184.85,0.0096599,1231.1
287.82,184.12,0.0096061,1229.8
288.18,183.39,0.0095526,1228.4
288.55,182.66,0.0094997,1227.1
288.90,181.95,0.0094472,1225.8
289.26,181.24,0.0093952,1224.5
289.61,180.55,0.0093436,1223.2
289.97,179.85,0.0092924,1221.9
290.31,179.17,0.0092417,1220.6
290.66,178.50,0.0091914,1219.3
291.00,177.83,0.0091415,1218.0
291.34,177.17,0.0090920,1216.7
291.68,176.51,0.0090429,1215.4
292.02,175.86,0.0089943,1214.2
292.35,175.22,0.0089459,1212.9
292.68,174.59,0.0088980,1211.7
293.01,173.96,0.0088505,1210.4
293.34,173.34,0.0088033,1209.2
293.66,172.72,0.0087564,1208.0
293.99,172.11,0.0087100,1206.7
294.31,171.50,0.0086639,1205.5
294.62,170.90,0.0086181,1204.3
294.94,170.31,0.0085726,1203.1
295.26,169.72,0.0085275,1201.9
295.57,169.14,0.0084828,1200.7
295.88,168.56,0.0084383,1199.5
296.19,167.99,0.0083942,1198.3
296.49,167.43,0.0083504,1197.1
296.80,166.86,0.0083069,1195.9
297.10,166.31,0.0082637,1194.8
297.40,165.76,0.0082208,1193.6
297.70,165.21,0.0081782,1192.4
298.00,164.67,0.0081359,1191.3
298.29,164.13,0.0080939,1190.1
298.59,163.59,0.0080521,1188.9
298.88,163.07,0.0080107,1187.8
299.17,162.54,0.0079695,1186.7
299.46,162.02,0.0079286,1185.5
299.74,161.51,0.0078880,1184.4
300.03,160.99,0.0078476,1183.3
300.31,160.49,0.0078075,1182.1
300.59,159.98,0.0077677,1181.0
300.88,159.48,0.0077281,1179.9
301.15,158.99,0.0076888,1178.8
301.43,158.49,0.0076497,1177.7
301.71,158.01,0.0076108,1176.6
301.98,157.52,0.0075722,1175.5
302.26,157.04,0.0075339,1174.4
302.53,156.56,0.0074958,1173.3
302.80,156.09,0.0074579,1172.2
303.07,155.62,0.0074202,1171.1
303.33,155.15,0.0073828,1170.0
303.60,154.69,0.0073456,1168.9
303.87,154.23,0.0073086,1167.8
304.13,153.77,0.0072718,1166.8
304.39,153.32,0.0072353,1165.7
304.65,152.87,0.0071990,1164.6
304.91,152.42,0.0071629,1163.5
305.17,151.98,0.0071270,1162.5
305.43,151.54,0.0070913,1161.4
305.68,151.10,0.0070558,1160.4
305.94,150.66,0.0070205,1159.3
306.19,150.23,0.0069854,1158.3
306.44,149.80,0.0069505,1157.2
306.69,149.38,0.0069158,1156.2
306.94,148.95,0.0068813,1155.1
307.19,148.53,0.0068470,1154.1
307.44,148.12,0.0068129,1153.1
307.69,147.70,0.0067790,1152.0
307.93,147.29,0.0067452,1151.0
308.17,146.88,0.0067117,1150.0
308.42,146.47,0.0066783,1148.9
308.66,146.07,0.0066451,1147.9
308.90,145.66,0.0066121,1146.9
309.14,145.26,0.0065793,1145.9
309.38,144.87,0.0065466,1144.9
309.62,144.47,0.0065141,1143.8
309.85,144.08,0.0064818,1142.8
310.09,143.69,0.0064496,1141.8
310.32,143.30,0.0064177,1140.8
310.56,142.91,0.0063858,1139.8
310.79,142.53,0.0063542,1138.8
311.02,142.15,0.0063227,1137.8
311.25,141.77,0.0062914,1136.8
311.48,141.40,0.0062602,1135.8
311.71,141.02,0.0062292,1134.8
311.94,140.65,0.0061983,1133.8
312.16,140.28,0.0061676,1132.9
312.39,139.91,0.0061371,1131.9
312.61,139.54,0.0061067,1130.9
312.84,139.18,0.0060764,1129.9
313.06,138.82,0.0060463,1128.9
313.28,138.46,0.0060164,1127.9
313.51,138.10,0.0059866,1127.0
313.73,137.74,0.0059569,1126.0
313.95,137.39,0.0059274,1125.0
314.16,137.04,0.0058981,1124.0
314.38,136.69,0.0058688,1123.1
314.60,136.34,0.0058398,1122.1
314.82,135.99,0.0058108,1121.1
315.03,135.65,0.0057820,1120.2
