Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
154.56,,0.031280,1192.9
203.04,602.12,0.023541,1102.6
213.27,504.21,0.021960,1083.0
219.86,453.24,0.020952,1070.2
224.84,419.58,0.020196,1060.4
228.89,394.79,0.019584,1052.4
232.32,375.34,0.019068,1045.5
235.33,359.45,0.018618,1039.5
238.00,346.06,0.018220,1034.0
240.42,334.55,0.017860,1029.1
242.64,324.47,0.017533,1024.6
244.68,315.53,0.017231,1020.4
246.58,307.51,0.016952,1016.5
248.36,300.26,0.016691,1012.8
250.03,293.64,0.016446,1009.3
251.62,287.56,0.016215,1006.0
253.12,281.95,0.015996,1002.8
254.55,276.74,0.015789,999.77
255.91,271.89,0.015591,996.87
257.22,267.35,0.015402,994.09
258.47,263.08,0.015222,991.40
259.67,259.07,0.015048,988.81
260.83,255.27,0.014881,986.31
261.96,251.67,0.014721,983.88
263.04,248.26,0.014566,981.53
264.09,245.01,0.014416,979.24
265.10,241.92,0.014271,977.02
266.09,238.96,0.014130,974.85
267.05,236.13,0.013994,972.74
267.98,233.42,0.013862,970.68
268.89,230.82,0.013733,968.66
269.77,228.32,0.013608,966.69
270.63,225.91,0.013486,964.77
271.48,223.59,0.013368,962.88
272.30,221.36,0.013252,961.03
273.10,219.20,0.013139,959.22
273.89,217.11,0.013028,957.44
274.66,215.09,0.012921,955.70
275.41,213.14,0.012815,953.98
276.15,211.24,0.012712,952.30
276.88,209.41,0.012611,950.64
277.59,207.62,0.012512,949.01
278.28,205.89,0.012415,947.40
278.97,204.21,0.012319,945.82
279.64,202.57,0.012226,944.27
280.30,200.98,0.012134,942.73
280.95,199.43,0.012044,941.22
281.59,197.91,0.011956,939.73
282.22,196.44,0.011869,938.25
282.84,195.00,0.011784,936.80
283.45,193.60,0.011700,935.37
284.05,192.23,0.011617,933.95
284.64,190.89,0.011536,932.55
285.22,189.58,0.011456,931.17
285.80,188.30,0.011377,929.81
286.36,187.05,0.011300,928.46
286.92,185.82,0.011224,927.12
287.47,184.62,0.011148,925.80
288.01,183.45,0.011074,924.49
288.55,182.30,0.011001,923.20
289.08,181.17,0.010929,921.92
289.60,180.06,0.010858,920.66
290.12,178.98,0.010788,919.40
290.63,177.92,0.010719,918.16
291.13,176.87,0.010650,916.93
291.63,175.85,0.010583,915.71
292.12,174.84,0.010517,914.50
292.61,173.85,0.010451,913.31
293.09,172.88,0.010386,912.12
293.57,171.93,0.010322,910.95
294.04,170.99,0.010259,909.78
294.50,170.07,0.010196,908.63
294.96,169.16,0.010134,907.48
295.42,168.27,0.010073,906.34
295.87,167.39,0.010013,905.21
296.31,166.53,0.0099527,904.10
296.76,165.68,0.0098936,902.98
297.19,164.84,0.0098352,901.88
297.63,164.02,0.0097773,900.79
298.06,163.21,0.0097201,899.70
298.48,162.41,0.0096635,898.62
298.90,161.62,0.0096075,897.55
299.32,160.84,0.0095521,896.49
299.73,160.08,0.0094972,895.43
300.14,159.32,0.0094428,894.39
