Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
18.724,49.361,0.0040354,174.63
19.063,47.034,0.0039479,173.85
19.367,45.085,0.0038697,173.15
19.644,43.415,0.0037987,172.50
19.899,41.961,0.0037336,171.90
20.136,40.678,0.0036734,171.34
20.357,39.533,0.0036174,170.82
20.565,38.501,0.0035648,170.32
20.761,37.564,0.0035154,169.85
20.948,36.709,0.0034686,169.39
21.125,35.922,0.0034242,168.96
21.294,35.194,0.0033820,168.55
21.456,34.519,0.0033416,168.15
21.611,33.890,0.0033030,167.77
21.761,33.301,0.0032659,167.40
21.905,32.749,0.0032302,167.04
22.044,32.229,0.0031959,166.69
22.178,31.738,0.0031627,166.35
22.309,31.274,0.0031307,166.02
22.435,30.833,0.0030997,165.70
22.557,30.415,0.0030696,165.39
22.677,30.016,0.0030405,165.08
22.793,29.636,0.0030122,164.78
22.906,29.273,0.0029847,164.49
23.016,28.925,0.0029579,164.21
23.124,28.592,0.0029318,163.93
23.229,28.273,0.0029063,163.65
23.331,27.966,0.0028815,163.38
23.432,27.670,0.0028573,163.12
23.530,27.386,0.0028336,162.86
23.627,27.112,0.0028104,162.61
23.721,26.847,0.0027878,162.36
23.813,26.592,0.0027656,162.11
23.904,26.344,0.0027439,161.87
23.993,26.105,0.0027226,161.63
24.081,25.874,0.0027017,161.39
24.167,25.649,0.0026812,161.16
24.251,25.432,0.0026611,160.93
24.334,25.220,0.0026414,160.71
24.416,25.015,0.0026220,160.48
24.496,24.816,0.0026030,160.26
24.575,24.622,0.0025843,160.05
24.653,24.433,0.0025659,159.83
24.730,24.250,0.0025478,159.62
24.806,24.071,0.0025300,159.41
24.880,23.896,0.0025125,159.20
24.954,23.726,0.0024953,159.00
25.026,23.560,0.0024783,158.80
25.098,23.398,0.0024615,158.60
25.168,23.240,0.0024450,158.40
25.238,23.086,0.0024288,158.20
25.307,22.935,0.0024128,158.01
25.375,22.787,0.0023970,157.82
25.442,22.643,0.0023814,157.63
25.508,22.501,0.0023660,157.44
25.573,22.363,0.0023508,157.25
25.638,22.228,0.0023359,157.07
25.702,22.095,0.0023211,156.88
25.765,21.965,0.0023065,156.70
25.828,21.838,0.0022921,156.52
25.890,21.713,0.0022778,156.34
25.951,21.591,0.0022638,156.16
26.011,21.471,0.0022499,155.99
26.071,21.353,0.0022361,155.81
26.130,21.237,0.0022226,155.64
26.189,21.123,0.0022092,155.47
