Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
152.29,618.29,0.020707,1664.7
160.38,527.16,0.019299,1636.5
165.58,478.68,0.018402,1618.0
169.53,446.21,0.017730,1603.8
172.74,422.06,0.017186,1592.2
175.47,402.97,0.016727,1582.2
177.86,387.25,0.016328,1573.4
179.99,373.95,0.015973,1565.6
181.91,362.44,0.015653,1558.4
183.68,352.33,0.015362,1551.8
185.31,343.33,0.015094,1545.7
186.83,335.22,0.014845,1539.9
188.25,327.87,0.014612,1534.5
189.59,321.14,0.014394,1529.4
190.86,314.94,0.014189,1524.6
192.06,309.20,0.013994,1519.9
193.21,303.87,0.013810,1515.5
194.30,298.88,0.013634,1511.3
195.35,294.21,0.013466,1507.2
196.35,289.81,0.013305,1503.3
197.32,285.66,0.013150,1499.5
198.25,281.73,0.013002,1495.8
199.16,278.00,0.012858,1492.2
200.03,274.45,0.012720,1488.8
200.87,271.07,0.012587,1485.4
201.69,267.85,0.012458,1482.2
202.48,264.76,0.012333,1479.0
203.26,261.80,0.012211,1475.9
204.01,258.96,0.012094,1472.9
204.74,256.24,0.011979,1469.9
205.45,253.61,0.011868,1467.0
206.15,251.08,0.011759,1464.2
206.83,248.64,0.011653,1461.5
207.49,246.29,0.011550,1458.7
208.14,244.01,0.011449,1456.1
208.78,241.81,0.011351,1453.5
209.40,239.68,0.011255,1450.9
210.01,237.61,0.011161,1448.4
210.61,235.60,0.011069,1445.9
211.20,233.66,0.010979,1443.5
211.77,231.77,0.010891,1441.1
212.34,229.93,0.010804,1438.7
212.89,228.14,0.010719,1436.4
213.44,226.39,0.010636,1434.1
213.97,224.70,0.010555,1431.9
214.50,223.04,0.010474,1429.6
215.02,221.43,0.010396,1427.5
215.53,219.85,0.010318,1425.3
216.03,218.32,0.010242,1423.2
216.53,216.81,0.010168,1421.1
217.02,215.35,0.010094,1419.0
217.50,213.91,0.010022,1416.9
217.97,212.51,0.0099506,1414.9
218.44,211.14,0.0098805,1412.9
218.90,209.79,0.0098114,1410.9
219.35,208.48,0.0097434,1408.9
219.80,207.19,0.0096765,1407.0
220.24,205.92,0.0096104,1405.1
220.68,204.68,0.0095454,1403.2
221.11,203.47,0.0094812,1401.3
221.53,202.28,0.0094179,1399.4
221.95,201.11,0.0093555,1397.6
222.37,199.96,0.0092939,1395.8
222.78,198.83,0.0092331,1394.0
223.19,197.72,0.0091731,1392.2
223.59,196.63,0.0091139,1390.4
223.99,195.56,0.0090554,1388.6
224.38,194.51,0.0089976,1386.9
224.77,193.48,0.0089405,1385.2
225.15,192.46,0.0088842,1383.4
225.53,191.46,0.0088285,1381.7
225.91,190.48,0.0087734,1380.1
226.28,189.51,0.0087190,1378.4
226.65,188.55,0.0086652,1376.7
227.01,187.61,0.0086120,1375.1
227.37,186.69,0.0085594,1373.4
227.73,185.78,0.0085074,1371.8
228.08,184.88,0.0084560,1370.2
228.43,184.00,0.0084051,1368.6
228.78,183.12,0.0083547,1367.0
229.13,182.26,0.0083049,1365.5
229.47,181.42,0.0082555,1363.9
229.81,180.58,0.0082067,1362.3
230.14,179.76,0.0081584,1360.8
230.47,178.94,0.0081106,1359.3
230.80,178.14,0.0080632,1357.7
231.13,177.35,0.0080163,1356.2
231.45,176.56,0.0079699,1354.7
231.77,175.79,0.0079239,1353.2
232.09,175.03,0.0078783,1351.7
232.41,174.28,0.0078332,1350.3
232.72,173.54,0.0077885,1348.8
233.03,172.80,0.0077441,1347.3
233.34,172.08,0.0077002,1345.9
233.65,171.36,0.0076567,1344.4
233.95,170.65,0.0076136,1343.0
234.25,169.95,0.0075709,1341.6
234.55,169.26,0.0075285,1340.2
234.85,168.58,0.0074865,1338.8
235.14,167.90,0.0074449,1337.4
235.43,167.23,0.0074036,1336.0
235.72,166.57,0.0073626,1334.6
236.01,165.92,0.0073220,1333.2
236.30,165.27,0.0072818,1331.8
236.58,164.63,0.0072419,1330.5
236.86,164.00,0.0072023,1329.1
237.14,163.37,0.0071630,1327.7
237.42,162.75,0.0071240,1326.4
237.70,162.14,0.0070853,1325.0
237.97,161.53,0.0070470,1323.7
238.25,160.93,0.0070089,1322.4
238.52,160.34,0.0069712,1321.1
238.79,159.75,0.0069337,1319.7
239.05,159.17,0.0068965,1318.4
239.32,158.59,0.0068596,1317.1
239.58,158.02,0.0068230,1315.8
239.85,157.45,0.0067866,1314.5
240.11,156.89,0.0067505,1313.2
240.36,156.34,0.0067147,1312.0
240.62,155.79,0.0066791,1310.7
240.88,155.24,0.0066438,1309.4
241.13,154.70,0.0066088,1308.1
241.38,154.17,0.0065740,1306.9
241.64,153.64,0.0065394,1305.6
241.89,153.11,0.0065051,1304.4
242.13,152.59,0.0064710,1303.1
242.38,152.07,0.0064372,1301.9
242.63,151.56,0.0064035,1300.6
242.87,151.05,0.0063702,1299.4
