Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
216.59,253.37,0.016495,1178.5
217.09,251.23,0.016376,1176.7
217.59,249.15,0.016259,1174.9
218.08,247.12,0.016144,1173.1
218.56,245.14,0.016031,1171.4
219.03,243.20,0.015921,1169.7
219.50,241.31,0.015811,1168.0
219.95,239.47,0.015704,1166.3
220.41,237.67,0.015598,1164.7
220.85,235.91,0.015494,1163.0
221.29,234.18,0.015392,1161.4
221.73,232.50,0.015291,1159.8
222.15,230.85,0.015191,1158.2
222.58,229.24,0.015093,1156.7
222.99,227.65,0.014996,1155.1
223.40,226.10,0.014901,1153.6
223.81,224.59,0.014807,1152.1
224.21,223.10,0.014714,1150.6
224.61,221.64,0.014622,1149.1
225.00,220.20,0.014532,1147.7
225.39,218.80,0.014443,1146.2
225.77,217.42,0.014355,1144.8
226.15,216.07,0.014268,1143.3
226.53,214.74,0.014182,1141.9
226.90,213.43,0.014097,1140.5
227.27,212.15,0.014013,1139.1
227.63,210.88,0.013930,1137.8
227.99,209.64,0.013848,1136.4
228.34,208.43,0.013767,1135.0
228.69,207.23,0.013687,1133.7
229.04,206.05,0.013608,1132.4
229.39,204.89,0.013529,1131.0
229.73,203.74,0.013452,1129.7
230.07,202.62,0.013375,1128.4
230.40,201.51,0.013299,1127.1
230.74,200.42,0.013224,1125.8
231.06,199.35,0.013150,1124.6
231.39,198.29,0.013076,1123.3
231.71,197.25,0.013004,1122.0
232.03,196.23,0.012932,1120.8
232.35,195.22,0.012860,1119.6
232.66,194.22,0.012790,1118.3
232.98,193.24,0.012720,1117.1
233.29,192.27,0.012650,1115.9
233.59,191.31,0.012582,1114.7
233.90,190.37,0.012514,1113.5
234.20,189.44,0.012446,1112.3
234.50,188.52,0.012380,1111.1
234.79,187.62,0.012313,1109.9
235.09,186.72,0.012248,1108.8
235.38,185.84,0.012183,1107.6
235.67,184.97,0.012119,1106.4
235.96,184.11,0.012055,1105.3
236.24,183.26,0.011991,1104.1
236.53,182.43,0.011929,1103.0
236.81,181.60,0.011867,1101.9
237.09,180.78,0.011805,1100.7
237.37,179.97,0.011744,1099.6
237.64,179.18,0.011683,1098.5
237.91,178.39,0.011623,1097.4
238.18,177.61,0.011563,1096.3
238.45,176.84,0.011504,1095.2
238.72,176.08,0.011445,1094.1
238.99,175.32,0.011387,1093.0
239.25,174.58,0.011329,1091.9
239.51,173.85,0.011272,1090.9
239.77,173.12,0.011215,1089.8
240.03,172.40,0.011158,1088.7
240.29,171.69,0.011102,1087.7
240.54,170.98,0.011047,1086.6
240.80,170.29,0.010991,1085.6
241.05,169.60,0.010937,1084.5
241.30,168.92,0.010882,1083.5
241.55,168.24,0.010828,1082.4
241.80,167.58,0.010775,1081.4
242.04,166.91,0.010721,1080.4
242.29,166.26,0.010668,1079.4
242.53,165.61,0.010616,1078.3
242.77,164.97,0.010564,1077.3
243.01,164.34,0.010512,1076.3
243.25,163.71,0.010461,1075.3
243.49,163.09,0.010410,1074.3
243.72,162.47,0.010359,1073.3
243.96,161.86,0.010308,1072.3
244.19,161.26,0.010258,1071.3
244.42,160.66,0.010209,1070.3
244.65,160.07,0.010159,1069.4
244.88,159.48,0.010110,1068.4
245.11,158.90,0.010062,1067.4
245.34,158.32,0.010013,1066.4
245.56,157.75,0.0099650,1065.5
245.78,157.19,0.0099172,1064.5
246.01,156.63,0.0098697,1063.5
246.23,156.07,0.0098225,1062.6
246.45,155.52,0.0097756,1061.6
246.67,154.98,0.0097290,1060.7
246.89,154.43,0.0096827,1059.7
247.10,153.90,0.0096366,1058.8
247.32,153.37,0.0095909,1057.8
247.54,152.84,0.0095454,1056.9
247.75,152.32,0.0095002,1055.9
247.96,151.80,0.0094553,1055.0
248.17,151.28,0.0094106,1054.1
248.38,150.77,0.0093662,1053.1
248.59,150.27,0.0093220,1052.2
248.80,149.77,0.0092782,1051.3
249.01,149.27,0.0092345,1050.4
249.22,148.78,0.0091912,1049.5
249.42,148.29,0.0091480,1048.6
249.63,147.80,0.0091052,1047.6
249.83,147.32,0.0090625,1046.7
250.03,146.84,0.0090201,1045.8
250.24,146.37,0.0089780,1044.9
250.44,145.90,0.0089360,1044.0
250.64,145.43,0.0088944,1043.1
250.83,144.97,0.0088529,1042.2
251.03,144.51,0.0088117,1041.3
251.23,144.06,0.0087707,1040.4
251.43,143.60,0.0087299,1039.5
251.62,143.15,0.0086893,1038.7
251.82,142.71,0.0086490,1037.8
252.01,142.27,0.0086089,1036.9
252.20,141.83,0.0085690,1036.0
252.39,141.39,0.0085293,1035.1
252.59,140.96,0.0084898,1034.3
252.78,140.53,0.0084505,1033.4
252.96,140.10,0.0084114,1032.5
253.15,139.68,0.0083725,1031.6
253.34,139.26,0.0083339,1030.8
253.53,138.84,0.0082954,1029.9
253.71,138.42,0.0082571,1029.0
253.90,138.01,0.0082190,1028.2
254.08,137.60,0.0081811,1027.3
254.27,137.20,0.0081434,1026.5
254.45,136.79,0.0081059,1025.6
254.63,136.39,0.0080686,1024.8
254.82,135.99,0.0080315,1023.9
255.00,135.60,0.0079945,1023.1
255.18,135.21,0.0079578,1022.2
255.36,134.82,0.0079212,1021.4
255.54,134.43,0.0078848,1020.5
255.71,134.04,0.0078485,1019.7
255.89,133.66,0.0078125,1018.8
256.07,133.28,0.0077766,1018.0
