Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
278.68,812.29,0.030814,893.97
298.59,598.86,0.028148,873.12
309.70,517.37,0.026681,861.37
317.70,469.19,0.025634,852.83
324.06,435.78,0.024808,845.99
329.38,410.56,0.024121,840.22
333.98,390.49,0.023528,835.20
338.06,373.93,0.023007,830.73
341.74,359.91,0.022539,826.69
345.08,347.80,0.022114,822.98
348.17,337.17,0.021724,819.55
351.03,327.72,0.021363,816.35
353.70,319.23,0.021027,813.35
356.21,311.54,0.020712,810.52
358.58,304.52,0.020416,807.83
360.83,298.07,0.020135,805.28
362.97,292.11,0.019870,802.84
365.01,286.58,0.019617,800.51
366.96,281.42,0.019375,798.26
368.83,276.59,0.019144,796.10
370.63,272.06,0.018922,794.02
372.37,267.79,0.018709,792.01
374.04,263.76,0.018504,790.06
375.66,259.94,0.018306,788.17
377.22,256.31,0.018115,786.34
378.74,252.86,0.017931,784.55
380.21,249.57,0.017751,782.82
381.64,246.42,0.017578,781.13
383.03,243.42,0.017409,779.48
384.39,240.54,0.017246,777.86
385.70,237.77,0.017086,776.29
386.99,235.12,0.016931,774.75
388.25,232.56,0.016780,773.24
389.48,230.10,0.016632,771.77
390.68,227.73,0.016489,770.32
391.85,225.44,0.016348,768.90
393.00,223.23,0.016211,767.50
394.12,221.08,0.016076,766.14
395.23,219.01,0.015945,764.79
396.31,217.00,0.015816,763.47
397.37,215.05,0.015690,762.17
398.41,213.16,0.015567,760.89
399.43,211.33,0.015446,759.63
400.44,209.54,0.015327,758.39
401.43,207.81,0.015210,757.17
402.40,206.12,0.015096,755.97
403.35,204.48,0.014983,754.78
404.29,202.87,0.014873,753.61
405.22,201.31,0.014764,752.45
406.13,199.79,0.014658,751.31
407.02,198.30,0.014553,750.19
407.91,196.85,0.014449,749.07
408.78,195.43,0.014348,747.98
409.64,194.05,0.014247,746.89
410.48,192.70,0.014149,745.82
411.32,191.37,0.014052,744.76
412.14,190.08,0.013956,743.71
412.96,188.81,0.013862,742.67
413.76,187.57,0.013769,741.65
414.55,186.35,0.013677,740.63
415.33,185.16,0.013587,739.63
416.11,183.99,0.013498,738.64
416.87,182.84,0.013410,737.65
417.62,181.72,0.013323,736.68
418.37,180.62,0.013237,735.71
419.11,179.54,0.013152,734.76
419.84,178.47,0.013069,733.81
420.56,177.43,0.012986,732.87
421.27,176.41,0.012905,731.94
421.97,175.40,0.012824,731.02
422.67,174.41,0.012745,730.10
423.36,173.44,0.012666,729.20
424.04,172.48,0.012588,728.30
424.72,171.54,0.012511,727.40
425.39,170.62,0.012435,726.52
426.05,169.71,0.012360,725.64
426.71,168.81,0.012286,724.77
427.36,167.93,0.012212,723.91
428.00,167.06,0.012140,723.05
428.64,166.20,0.012068,722.20
429.27,165.36,0.011996,721.35
429.90,164.53,0.011926,720.51
430.52,163.72,0.011856,719.68
431.13,162.91,0.011787,718.85
431.74,162.12,0.011718,718.03
432.34,161.33,0.011651,717.22
432.94,160.56,0.011584,716.40
433.54,159.80,0.011517,715.60
434.12,159.05,0.011451,714.80
434.71,158.31,0.011386,714.00
435.29,157.58,0.011322,713.21
435.86,156.86,0.011258,712.43
436.43,156.14,0.011194,711.65
436.99,155.44,0.011132,710.87
437.56,154.75,0.011069,710.10
438.11,154.06,0.011008,709.33
438.66,153.39,0.010946,708.57
439.21,152.72,0.010886,707.81
439.75,152.06,0.010826,707.06
440.29,151.41,0.010766,706.31
440.83,150.76,0.010707,705.57
441.36,150.13,0.010648,704.82
441.89,149.50,0.010590,704.09
442.41,148.88,0.010533,703.35
442.93,148.26,0.010476,702.62
443.45,147.65,0.010419,701.90
443.96,147.05,0.010363,701.18
444.47,146.46,0.010307,700.46
444.98,145.87,0.010251,699.74
445.48,145.29,0.010196,699.03
445.98,144.72,0.010142,698.32
446.47,144.15,0.010088,697.62
446.97,143.58,0.010034,696.92
447.45,143.03,0.0099810,696.22
447.94,142.48,0.0099281,695.52
448.42,141.93,0.0098756,694.83
448.90,141.39,0.0098235,694.14
449.38,140.86,0.0097718,693.46
449.85,140.33,0.0097205,692.77
450.32,139.81,0.0096695,692.09
450.79,139.29,0.0096189,691.42
451.26,138.78,0.0095687,690.74
451.72,138.27,0.0095188,690.07
452.18,137.77,0.0094692,689.40
452.64,137.27,0.0094200,688.73
453.09,136.77,0.0093712,688.07
453.54,136.29,0.0093227,687.41
453.99,135.80,0.0092745,686.75
454.44,135.32,0.0092266,686.10
454.88,134.85,0.0091791,685.44
455.32,134.38,0.0091318,684.79
455.76,133.91,0.0090849,684.15
456.20,133.45,0.0090383,683.50
456.63,132.99,0.0089920,682.86
457.06,132.53,0.0089460,682.21
457.49,132.08,0.0089003,681.58
457.92,131.64,0.0088549,680.94
458.34,131.19,0.0088097,680.30
458.77,130.76,0.0087649,679.67
