Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
177.83,2109.7,0.031109,758.48
269.94,400.79,0.020870,679.92
283.27,346.40,0.019447,668.15
291.84,317.06,0.018543,660.48
298.30,297.26,0.017866,654.63
303.55,282.45,0.017318,649.83
308.01,270.68,0.016855,645.72
311.91,260.96,0.016453,642.11
315.38,252.71,0.016096,638.87
318.52,245.56,0.015774,635.92
321.39,239.25,0.015481,633.21
324.04,233.63,0.015211,630.69
326.50,228.56,0.014961,628.34
328.81,223.94,0.014728,626.12
330.98,219.71,0.014508,624.03
333.03,215.81,0.014302,622.04
334.97,212.20,0.014106,620.15
336.83,208.83,0.013921,618.34
338.59,205.68,0.013744,616.60
340.29,202.72,0.013575,614.93
341.91,199.93,0.013413,613.32
343.47,197.30,0.013258,611.77
344.98,194.80,0.013108,610.27
346.43,192.43,0.012964,608.81
347.83,190.17,0.012826,607.40
349.19,188.02,0.012692,606.03
350.51,185.96,0.012562,604.69
351.79,183.98,0.012436,603.40
353.03,182.09,0.012314,602.13
354.24,180.28,0.012196,600.89
355.42,178.53,0.012081,599.68
356.56,176.85,0.011969,598.50
357.68,175.22,0.011860,597.35
358.77,173.66,0.011754,596.22
359.84,172.14,0.011650,595.11
360.88,170.68,0.011549,594.02
361.90,169.26,0.011450,592.95
362.90,167.88,0.011353,591.90
363.88,166.55,0.011259,590.88
364.84,165.25,0.011166,589.86
365.78,163.99,0.011076,588.87
366.70,162.77,0.010987,587.89
367.60,161.58,0.010900,586.93
368.49,160.42,0.010815,585.98
369.36,159.29,0.010732,585.04
370.22,158.19,0.010650,584.12
371.06,157.11,0.010569,583.21
371.89,156.06,0.010490,582.32
372.71,155.04,0.010412,581.43
373.51,154.04,0.010336,580.56
374.30,153.06,0.010261,579.70
375.08,152.11,0.010187,578.85
375.84,151.17,0.010114,578.01
376.60,150.26,0.010043,577.18
377.34,149.36,0.0099723,576.36
378.08,148.48,0.0099030,575.55
378.80,147.62,0.0098346,574.75
379.52,146.78,0.0097673,573.96
380.22,145.95,0.0097010,573.17
380.92,145.14,0.0096356,572.39
381.60,144.34,0.0095711,571.63
382.28,143.56,0.0095075,570.87
382.95,142.79,0.0094447,570.11
383.61,142.04,0.0093828,569.37
384.27,141.30,0.0093217,568.63
384.91,140.57,0.0092614,567.90
385.55,139.86,0.0092019,567.17
386.18,139.15,0.0091431,566.45
386.81,138.46,0.0090850,565.74
387.42,137.78,0.0090276,565.03
388.04,137.11,0.0089710,564.33
388.64,136.45,0.0089150,563.64
389.24,135.80,0.0088596,562.95
389.83,135.16,0.0088049,562.27
390.41,134.53,0.0087508,561.59
390.99,133.91,0.0086974,560.92
391.57,133.30,0.0086445,560.25
392.13,132.70,0.0085922,559.59
392.70,132.10,0.0085404,558.93
393.25,131.52,0.0084892,558.28
393.80,130.94,0.0084386,557.63
394.35,130.37,0.0083885,556.99
394.89,129.81,0.0083389,556.35
395.43,129.25,0.0082898,555.71
395.96,128.71,0.0082412,555.08
396.49,128.17,0.0081931,554.46
397.01,127.63,0.0081454,553.84
397.53,127.11,0.0080983,553.22
398.04,126.59,0.0080516,552.60
398.55,126.07,0.0080053,551.99
399.05,125.57,0.0079594,551.39
399.55,125.07,0.0079140,550.78
400.05,124.57,0.0078690,550.19
400.54,124.08,0.0078245,549.59
401.03,123.60,0.0077803,549.00
401.51,123.12,0.0077365,548.41
401.99,122.65,0.0076931,547.82
402.47,122.18,0.0076501,547.24
402.94,121.72,0.0076075,546.66
403.41,121.26,0.0075652,546.09
403.88,120.81,0.0075233,545.51
404.34,120.37,0.0074818,544.94
404.80,119.92,0.0074406,544.38
405.25,119.49,0.0073997,543.81
405.70,119.05,0.0073592,543.25
406.15,118.63,0.0073190,542.69
406.60,118.20,0.0072791,542.14
407.04,117.78,0.0072396,541.59
407.48,117.37,0.0072004,541.04
407.92,116.96,0.0071614,540.49
408.35,116.55,0.0071228,539.94
