Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
90.694,193.57,0.017063,451.48
94.793,172.13,0.016249,445.99
97.736,159.53,0.015665,441.99
100.07,150.71,0.015203,438.79
102.03,143.96,0.014816,436.08
103.72,138.52,0.014481,433.71
105.22,133.97,0.014185,431.60
106.58,130.07,0.013919,429.68
107.81,126.65,0.013676,427.93
108.95,123.62,0.013453,426.30
110.00,120.89,0.013246,424.77
110.99,118.42,0.013053,423.34
111.92,116.16,0.012871,421.99
112.80,114.08,0.012700,420.70
113.63,112.15,0.012538,419.48
114.42,110.35,0.012384,418.31
115.18,108.67,0.012237,417.19
115.90,107.09,0.012097,416.11
116.59,105.60,0.011962,415.07
117.26,104.20,0.011833,414.06
117.91,102.87,0.011708,413.09
118.53,101.60,0.011588,412.15
119.13,100.39,0.011472,411.23
119.71,99.244,0.011360,410.34
120.28,98.144,0.011252,409.48
120.82,97.090,0.011147,408.64
121.36,96.078,0.011045,407.81
121.87,95.107,0.010945,407.01
122.38,94.172,0.010849,406.23
122.87,93.271,0.010755,405.46
123.35,92.402,0.010663,404.71
123.82,91.562,0.010574,403.97
124.28,90.751,0.010486,403.25
124.73,89.965,0.010401,402.54
125.17,89.205,0.010318,401.85
125.59,88.467,0.010236,401.17
126.02,87.751,0.010156,400.50
126.43,87.056,0.010078,399.84
126.83,86.381,0.010002,399.19
127.23,85.724,0.0099268,398.55
127.62,85.085,0.0098532,397.92
128.00,84.462,0.0097810,397.30
128.38,83.856,0.0097101,396.69
128.75,83.264,0.0096405,396.09
129.11,82.687,0.0095721,395.49
129.47,82.124,0.0095049,394.91
129.82,81.574,0.0094388,394.33
130.17,81.037,0.0093738,393.76
130.51,80.512,0.0093098,393.20
130.85,79.998,0.0092469,392.64
131.18,79.496,0.0091849,392.09
131.51,79.004,0.0091239,391.55
131.83,78.522,0.0090638,391.01
132.15,78.051,0.0090045,390.48
132.46,77.588,0.0089461,389.95
132.77,77.135,0.0088886,389.43
133.07,76.691,0.0088318,388.92
133.38,76.255,0.0087758,388.41
133.67,75.828,0.0087206,387.90
133.97,75.408,0.0086661,387.40
134.26,74.996,0.0086123,386.91
134.55,74.591,0.0085592,386.42
134.83,74.194,0.0085067,385.93
135.11,73.803,0.0084549,385.45
135.39,73.419,0.0084038,384.97
135.66,73.042,0.0083532,384.50
135.93,72.670,0.0083033,384.03
136.20,72.305,0.0082539,383.57
136.47,71.946,0.0082051,383.10
136.73,71.592,0.0081569,382.65
136.99,71.244,0.0081092,382.19
137.25,70.902,0.0080620,381.74
137.50,70.564,0.0080154,381.30
137.76,70.232,0.0079692,380.85
138.01,69.905,0.0079235,380.41
138.25,69.582,0.0078784,379.98
138.50,69.265,0.0078337,379.54
138.74,68.951,0.0077894,379.11
138.98,68.642,0.0077456,378.68
139.22,68.338,0.0077022,378.26
139.46,68.038,0.0076593,377.84
139.69,67.741,0.0076168,377.42
139.92,67.449,0.0075746,377.00
140.15,67.161,0.0075329,376.59
140.38,66.876,0.0074916,376.18
140.61,66.595,0.0074507,375.77
140.83,66.318,0.0074101,375.36
141.06,66.045,0.0073699,374.96
141.28,65.774,0.0073301,374.56
141.49,65.507,0.0072906,374.16
141.71,65.244,0.0072515,373.76
141.93,64.984,0.0072128,373.37
142.14,64.726,0.0071743,372.98
142.35,64.472,0.0071362,372.59
142.56,64.221,0.0070984,372.20
142.77,63.973,0.0070609,371.81
142.98,63.728,0.0070238,371.43
143.19,63.485,0.0069869,371.05
143.39,63.246,0.0069504,370.67
143.59,63.009,0.0069141,370.29
143.79,62.774,0.0068782,369.91
143.99,62.542,0.0068425,369.54
144.19,62.313,0.0068071,369.17
144.39,62.086,0.0067720,368.80
144.59,61.862,0.0067371,368.43
144.78,61.640,0.0067025,368.06
144.97,61.421,0.0066682,367.70
145.17,61.203,0.0066341,367.33
145.36,60.988,0.0066003,366.97
145.54,60.775,0.0065668,366.61
145.73,60.565,0.0065334,366.25
145.92,60.356,0.0065004,365.90
146.11,60.150,0.0064675,365.54
146.29,59.945,0.0064349,365.19
146.47,59.743,0.0064026,364.83
146.66,59.542,0.0063704,364.48
146.84,59.344,0.0063385,364.13
147.02,59.147,0.0063068,363.78
147.20,58.952,0.0062753,363.44
147.37,58.759,0.0062441,363.09
147.55,58.568,0.0062130,362.75
147.73,58.379,0.0061822,362.40
147.90,58.191,0.0061515,362.06
148.07,58.005,0.0061211,361.72
148.25,57.821,0.0060909,361.38
148.42,57.639,0.0060608,361.05
148.59,57.458,0.0060310,360.71
148.76,57.278,0.0060014,360.37
148.93,57.101,0.0059719,360.04
149.10,56.924,0.0059426,359.71
149.26,56.750,0.0059135,359.37
149.43,56.576,0.0058846,359.04
149.59,56.405,0.0058559,358.71
149.76,56.234,0.0058274,358.39
149.92,56.065,0.0057990,358.06
150.08,55.898,0.0057708,357.73
150.24,55.732,0.0057427,357.41
150.41,55.567,0.0057149,357.08
150.57,55.404,0.0056872,356.76
150.72,55.242,0.0056597,356.44
150.88,55.081,0.0056323,356.11
151.04,54.921,0.0056051,355.79
151.20,54.763,0.0055780,355.47
151.35,54.606,0.0055511,355.16
151.51,54.451,0.0055244,354.84
151.66,54.296,0.0054978,354.52
151.82,54.143,0.0054714,354.21
151.97,53.990,0.0054451,353.89
152.12,53.839,0.0054190,353.58
152.27,53.689,0.0053930,353.26
152.42,53.541,0.0053671,352.95
152.57,53.393,0.0053414,352.64
152.72,53.246,0.0053159,352.33
152.87,53.101,0.0052904,352.02
153.02,52.956,0.0052651,351.71
153.17,52.813,0.0052400,351.40
153.31,52.671,0.0052150,351.09
153.46,52.529,0.0051901,350.79
153.60,52.389,0.0051653,350.48
153.75,52.250,0.0051407,350.18
153.89,52.111,0.0051162,349.87
154.04,51.974,0.0050919,349.57
154.18,51.837,0.0050676,349.26
154.32,51.702,0.0050435,348.96
154.46,51.567,0.0050195,348.66
154.60,51.433,0.0049957,348.36
154.74,51.301,0.0049719,348.06
154.88,51.169,0.0049483,347.76
155.02,51.038,0.0049248,347.46
155.16,50.907,0.0049014,347.16
155.30,50.778,0.0048782,346.86
155.44,50.650,0.0048550,346.57
155.57,50.522,0.0048320,346.27
155.71,50.395,0.0048091,345.98
155.84,50.269,0.0047862,345.68
155.98,50.144,0.0047635,345.39
156.11,50.020,0.0047409,345.09
156.25,49.896,0.0047185,344.80
156.38,49.773,0.0046961,344.51
156.51,49.651,0.0046738,344.21
156.65,49.530,0.0046517,343.92
156.78,49.409,0.0046296,343.63
156.91,49.289,0.0046076,343.34
157.04,49.170,0.0045858,343.05
157.17,49.052,0.0045640,342.76
157.30,48.934,0.0045424,342.47
157.43,48.817,0.0045209,342.18
157.56,48.701,0.0044994,341.89
157.69,48.585,0.0044781,341.61
157.81,48.470,0.0044568,341.32
157.94,48.356,0.0044357,341.03
158.07,48.242,0.0044146,340.75
158.19,48.130,0.0043936,340.46
158.32,48.017,0.0043728,340.18
158.45,47.906,0.0043520,339.89
158.57,47.795,0.0043313,339.61
158.70,47.684,0.0043107,339.32
158.82,47.574,0.0042902,339.04
158.94,47.465,0.0042698,338.76
159.07,47.357,0.0042495,338.48
159.19,47.249,0.0042292,338.19
159.31,47.141,0.0042091,337.91
159.43,47.035,0.0041890,337.63
159.55,46.929,0.0041691,337.35
159.68,46.823,0.0041492,337.07
159.80,46.718,0.0041294,336.79
159.92,46.613,0.0041097,336.51
160.04,46.509,0.0040900,336.23
160.16,46.406,0.0040705,335.95
160.27,46.303,0.0040510,335.67
160.39,46.201,0.0040316,335.40
160.51,46.099,0.0040123,335.12
160.63,45.998,0.0039931,334.84
160.75,45.897,0.0039740,334.56
160.86,45.797,0.0039549,334.29
160.98,45.697,0.0039359,334.01
161.10,45.598,0.0039170,333.73
161.21,45.499,0.0038982,333.46
161.33,45.401,0.0038794,333.18
161.44,45.303,0.0038608,332.91
161.56,45.206,0.0038422,332.63
161.67,45.109,0.0038236,332.36
161.79,45.013,0.0038052,332.08
161.90,44.917,0.0037868,331.81
162.01,44.822,0.0037685,331.54
162.12,44.727,0.0037503,331.26
162.24,44.633,0.0037321,330.99
162.35,44.539,0.0037140,330.72
162.46,44.445,0.0036960,330.45
162.57,44.352,0.0036781,330.17
162.68,44.259,0.0036602,329.90
162.79,44.167,0.0036424,329.63
162.91,44.075,0.0036247,329.36
163.02,43.984,0.0036070,329.09
163.12,43.893,0.0035894,328.82
163.23,43.802,0.0035719,328.55
163.34,43.712,0.0035544,328.28
163.45,43.622,0.0035370,328.01
163.56,43.533,0.0035197,327.74
163.67,43.444,0.0035025,327.47
163.78,43.356,0.0034853,327.20
163.88,43.267,0.0034681,326.93
163.99,43.180,0.0034511,326.66
164.10,43.092,0.0034341,326.39
164.20,43.005,0.0034171,326.12
164.31,42.919,0.0034003,325.85
164.42,42.832,0.0033835,325.59
164.52,42.746,0.0033667,325.32
164.63,42.661,0.0033500,325.05
164.73,42.576,0.0033334,324.78
164.84,42.491,0.0033169,324.51
164.94,42.406,0.0033004,324.25
165.05,42.322,0.0032839,323.98
165.15,42.239,0.0032676,323.71
165.25,42.155,0.0032512,323.45
165.36,42.072,0.0032350,323.18
165.46,41.989,0.0032188,322.91
165.56,41.907,0.0032027,322.65
165.66,41.825,0.0031866,322.38
165.77,41.743,0.0031706,322.12
165.87,41.662,0.0031546,321.85
165.97,41.581,0.0031387,321.58
166.07,41.500,0.0031228,321.32
166.17,41.420,0.0031070,321.05
166.27,41.339,0.0030913,320.79
166.37,41.260,0.0030756,320.52
166.47,41.180,0.0030600,320.26
166.57,41.101,0.0030444,319.99
166.67,41.022,0.0030289,319.73
166.77,40.943,0.0030135,319.46
166.87,40.865,0.0029981,319.20
166.97,40.787,0.0029827,318.93
167.07,40.709,0.0029674,318.67
167.17,40.632,0.0029522,318.40
167.26,40.555,0.0029370,318.14
167.36,40.478,0.0029219,317.88
167.46,40.401,0.0029068,317.61
167.56,40.325,0.0028918,317.35
167.65,40.249,0.0028768,317.08
167.75,40.173,0.0028619,316.82
167.85,40.098,0.0028470,316.56
167.94,40.023,0.0028322,316.29
168.04,39.948,0.0028174,316.03
168.13,39.873,0.0028027,315.77
168.23,39.799,0.0027880,315.50
168.33,39.725,0.0027734,315.24
168.42,39.651,0.0027588,314.98
168.52,39.577,0.0027443,314.71
168.61,39.504,0.0027298,314.45
168.70,39.430,0.0027154,314.19
168.80,39.358,0.0027010,313.92
168.89,39.285,0.0026867,313.66
168.99,39.213,0.0026724,313.40
169.08,39.140,0.0026582,313.13
169.17,39.068,0.0026440,312.87
169.26,38.997,0.0026299,312.61
169.36,38.925,0.0026158,312.34
169.45,38.854,0.0026018,312.08
169.54,38.783,0.0025878,311.82
169.63,38.712,0.0025738,311.55
169.73,38.642,0.0025599,311.29
169.82,38.572,0.0025461,311.03
169.91,38.501,0.0025323,310.76
170.00,38.432,0.0025185,310.50
170.09,38.362,0.0025048,310.24
170.18,38.292,0.0024911,309.97
170.27,38.223,0.0024775,309.71
170.36,38.154,0.0024639,309.45
170.45,38.085,0.0024504,309.18
170.54,38.017,0.0024369,308.92
170.63,37.948,0.0024234,308.66
170.72,37.880,0.0024100,308.39
170.81,37.812,0.0023967,308.13
170.90,37.745,0.0023834,307.87
170.99,37.677,0.0023701,307.60
171.08,37.610,0.0023569,307.34
171.17,37.542,0.0023437,307.08
171.25,37.475,0.0023306,306.81
171.34,37.409,0.0023175,306.55
171.43,37.342,0.0023044,306.29
171.52,37.276,0.0022914,306.02
171.61,37.209,0.0022784,305.76
171.69,37.143,0.0022655,305.49
171.78,37.078,0.0022526,305.23
171.87,37.012,0.0022397,304.97
171.95,36.946,0.0022269,304.70
172.04,36.881,0.0022142,304.44
172.13,36.816,0.0022014,304.17
172.21,36.751,0.0021888,303.91
172.30,36.686,0.0021761,303.64
172.38,36.622,0.0021635,303.38
172.47,36.557,0.0021510,303.11
172.55,36.493,0.0021384,302.85
172.64,36.429,0.0021260,302.58
172.72,36.365,0.0021135,302.32
172.81,36.301,0.0021011,302.05
172.89,36.237,0.0020887,301.79
172.98,36.174,0.0020764,301.52
173.06,36.111,0.0020641,301.26
173.15,36.048,0.0020519,300.99
173.23,35.985,0.0020397,300.73
173.31,35.922,0.0020275,300.46
173.40,35.859,0.0020154,300.19
173.48,35.797,0.0020033,299.93
173.56,35.734,0.0019912,299.66
173.65,35.672,0.0019792,299.39
173.73,35.610,0.0019673,299.13
173.81,35.548,0.0019553,298.86
173.89,35.486,0.0019434,298.59
173.98,35.425,0.0019315,298.33
174.06,35.363,0.0019197,298.06
174.14,35.302,0.0019079,297.79
174.22,35.241,0.0018962,297.52
174.30,35.179,0.0018845,297.25
