smiles,A,B,r2,n_pts,T_min,T_max,is_hc,eta_300,d_eta_dA_300,d_eta_dB_300,rel_sens_A,impact_1pct_A,impact_1pct_B_300,eta_5pct_err
Br,-9.828999434868706,-322.21679074534023,0.9904270133174192,10,250.0,500.0,False,1.8401922704111975e-05,1.8401922704111975e-05,6.133974234703992e-08,9.828999434868706,0.09828999434868706,0.010740559691511341,72.4871871271755
C,-10.41388545210469,-296.3155550862415,0.9959921517290258,28,250.0,500.0,True,1.1177542025013761e-05,1.1177542025013761e-05,3.725847341671254e-08,10.41388545210469,0.1041388545210469,0.009877185169541383,76.84088694023632
C#CC,-10.516884542295095,-335.7695373210499,0.9973695591251086,8,277.78,472.22,True,8.840949006809284e-06,8.840949006809284e-06,2.946983002269761e-08,10.516884542295095,0.10516884542295095,0.011192317910701664,78.92666025844848
C1CC1,-10.442425647520427,-356.50549122243524,0.9966778820611184,8,277.78,472.22,True,8.888277493899136e-06,8.888277493899136e-06,2.9627591646330453e-08,10.442425647520427,0.10442425647520427,0.011883516374081174,78.87890172807283
C1CCC2(CC1)CCCCC2,-11.51535652474082,1700.4059564370632,0.9975256143045568,10,250.0,500.0,True,0.002887579503162171,0.002887579503162171,9.625265010540571e-06,11.51535652474082,0.1151535652474082,0.05668019854790211,136.11972954645424
C1CCCC2(CC1)CCCCC2,-11.57327275427511,1805.3146262717955,0.9967928106059966,9,277.78,500.0,True,0.0038659132665936386,0.0038659132665936386,1.2886377555312128e-05,11.57327275427511,0.1157327275427511,0.06017715420905985,140.98136208354023
C=C,-10.429134645502558,-310.70441750754605,0.9959877558336542,8,250.0,444.44,True,1.0492854700176137e-05,1.0492854700176137e-05,3.497618233392046e-08,10.429134645502558,0.10429134645502558,0.010356813916918202,77.40069504965336
C=C(C)[C@H]1CC=C(C)CC1,-11.1304309526303,1221.7826125878614,0.9968791305840018,11,283.15,373.15,True,0.0008606503410263158,0.0008606503410263158,2.8688344700877194e-06,11.1304309526303,0.111304309526303,0.04072608708626205,113.86012269630919
C=C/C=C/C,-10.779807350461578,-344.36429058719096,0.9973055870393478,7,333.33,500.0,True,6.604968962546739e-06,6.604968962546739e-06,2.201656320848913e-08,10.779807350461578,0.10779807350461579,0.011478809686239698,81.55426721623951
C=C=C,-10.559659822256949,-317.8840047671229,0.9973707868767526,6,250.0,388.89,True,8.99111966633953e-06,8.99111966633953e-06,2.997039888779843e-08,10.559659822256949,0.10559659822256949,0.01059613349223743,78.77603915553124
C=C=O,-10.298222315716446,-348.7854331174944,0.9939596318747178,10,250.0,500.0,False,1.0534653241968166e-05,1.0534653241968166e-05,3.511551080656055e-08,10.298222315716446,0.10298222315716446,0.011626181103916479,77.36543474580289
C=CC,-10.506794595036832,-343.34187401225813,0.9947083466220858,10,250.0,500.0,True,8.708007891027262e-06,8.708007891027262e-06,2.9026692970090873e-08,10.506794595036832,0.10506794595036832,0.011444729133741938,79.06225907149395
C=CC(C)(O)CCC=C(C)C,-16.22695566455873,3233.1983898745684,0.9930397486010756,9,283.15,353.15,False,0.004297904510037972,0.004297904510037972,1.432634836679324e-05,16.22695566455873,0.16226955664558732,0.10777327966248561,285.825180852255
C=CCC=C,-10.613836275830508,-380.07001793770064,0.9968339975425092,8,305.56,500.0,True,6.922480937388819e-06,6.922480937388819e-06,2.307493645796273e-08,10.613836275830508,0.10613836275830509,0.012669000597923355,81.12855047030256
