compound_name,formula,has_viscosity,viscosity_points,has_surface_tension,surface_tension_points,dataset_ids
4-ethyl-4-methylmorpholin-4-ium ethylphosphonate,C9H22NO4P,True,13,False,0,iZleN
4-ethyl-4-methylmorpholinium diethyl phosphate,C11H26NO5P,True,10,False,0,byypk
4-ethyl-4-methylmorpholinium ethyl sulfate,C9H21NO5S,True,7,False,0,lioNp
4-ethyl-4-morpholinium tetrafluoroborate,C6H14BF4NO,True,11,False,0,DWSZB
4-heptyl-4-methylmorpholinium N-cyanocyanamide,C14H26N4O,True,8,False,0,vCnvR;NImfh
4-hexyl-4-methylmorpholin-4-ium hexylphosphonate,C17H38NO4P,True,13,False,0,TxqkI
4-hexyl-4-methylmorpholinium N-cyanocyanamide,C13H24N4O,True,8,False,0,PonIy;lVuKE
4-hexyl-4-methylmorpholinium bis((trifluoromethyl)sulfonyl)amide,C13H24F6N2O5S2,True,11,True,11,JXBpk;aiVuw
4-hexyl-4-methylmorpholinium bis(fluorosulfonyl)imide,C11H24F2N2O5S2,True,13,True,10,YXgaf;lKOHF
4-hexyl-4-methylmorpholinium tricyanomethanide,C15H24N4O,True,11,False,0,MhZxO
4-hydroxypyridinium bis[(trifluoromethane)sulfonyl]imide,C7H6F6N2O5S2,True,6,False,0,OqJPS
"4-methyl-1-octyl-1H-1,2,4-triazol-4-ium bis((trifluoromethyl)sulfonyl)amide",C13H22F6N4O4S2,True,13,False,0,nBhNe
"4-methyl-1-propyl-1,2,4-triazolium methanesulfonate",C7H15N3O3S,True,8,False,0,IEMYk
"4-methyl-1-propyl-1,2,4-triazolium nitrate",C6H12N4O3,True,6,False,0,VmCVd
"4-methyl-1-propyl-1,2,4-triazolium tosylate",C13H19N3O3S,True,9,False,0,qZXqE
"4-methyl-1-propyl-1H-1,2,4-triazol-4-ium bis((trifluoromethyl)sulfonyl)amide",C8H12F6N4O4S2,True,13,False,0,MWxHK
4-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,C11H14F6N2O4S2,False,0,True,32,ILVwl;gptlT
4-methyl-4-nonylmorpholinium N-cyanocyanamide,C16H30N4O,True,8,False,0,BONxA;vuXWg
