CAS,name,InChI,T_K,P_kPa,surface_tension_Nm
,water,InChI=1S/H2O/h1H2,313.15,,0.06986
,water,InChI=1S/H2O/h1H2,323.15,,0.06757
,water,InChI=1S/H2O/h1H2,333.15,,0.06639
,water,InChI=1S/H2O/h1H2,343.15,,0.06473
,water,InChI=1S/H2O/h1H2,303.15,,0.07212
,water,InChI=1S/H2O/h1H2,313.15,,0.07064
,water,InChI=1S/H2O/h1H2,323.15,,0.06915
,water,InChI=1S/H2O/h1H2,333.15,,0.06616
,water,InChI=1S/H2O/h1H2,343.15,,0.06539
,propan-2-ol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",293.2,,0.0214
,propan-2-ol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",303.3,,0.0206
,propan-2-ol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",313.2,,0.0198
,propan-2-ol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",323.3,,0.019
,propan-2-ol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",333.2,,0.0182
,propan-2-ol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",343.3,,0.0174
,propyl propanoate,"InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3",298.15,,0.0241
,"1,2-dimethylbenzene","InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",298.15,,0.02927
,"1,3-dimethylbenzene","InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",298.15,,0.02803
,"1,4-dimethylbenzene","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",298.15,,0.0277
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",293.15,,0.05278
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",298.15,,0.05262
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",303.15,,0.05232
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",308.15,,0.05187
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",313.15,,0.05159
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",318.15,,0.05131
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",323.15,,0.05091
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",328.15,,0.05055
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",333.15,,0.05011
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",338.15,,0.04993
,1-ethyl-3-methylimidazolium tetrachloroindate,"InChI=1S/C6H11N2.4ClH.In/c1-3-8-5-4-7(2)6-8;;;;;/h4-6H,3H2,1-2H3;4*1H;/q+1;;;;;+3/p-4",343.15,,0.04949
,nonane,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",288.15,,0.02338
,nonane,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",298.15,,0.02237
,nonane,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",308.15,,0.02125
,hexan-1-ol,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",288.15,,0.02608
,hexan-1-ol,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",298.15,,0.02519
,hexan-1-ol,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",308.15,,0.02419
,"3-methylnonyl 1,2-benzenedioate","InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3",288.15,,0.0305
,"3-methylnonyl 1,2-benzenedioate","InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3",293.15,,0.0302
,"3-methylnonyl 1,2-benzenedioate","InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3",298.15,,0.0297
,"3-methylnonyl 1,2-benzenedioate","InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3",303.15,,0.0294
,"3-methylnonyl 1,2-benzenedioate","InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3",308.15,,0.0291
,2-ethoxy-2-methylpropane,"InChI=1S/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3",298.15,,0.01973
