T,Viscosity
2.881499999999999773e+02,1.780000000000000027e+00
2.981499999999999773e+02,1.610000000000000098e+00
3.081499999999999773e+02,1.459999999999999964e+00
3.181499999999999773e+02,1.340000000000000080e+00
3.281499999999999773e+02,1.139999999999999902e+00
3.381499999999999773e+02,9.779999999999999805e-01
3.481499999999999773e+02,8.529999999999999805e-01
