SMILES,method,T_K,surface_tension_Nm,Tc,Pc,Tb
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,250,0.045659635362679446,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,300,0.04223900981264948,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,350,0.03886805837308589,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,400,0.03554948479654773,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,450,0.03228635490353231,1060.044590591182,1574703.9556563366,824.6700000000001
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,250,0.1019723348869781,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,300,0.09664292127224079,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,350,0.0913664318176804,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,400,0.08614479283816268,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,450,0.08098009885052332,1413.6464558069422,2183596.8206830285,1154.34
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,250,0.05891189151531341,919.2788686326447,2058622.9953129266,725.48
