SMILES,method,T_K,viscosity_Pas,Tc,Pc,Tb
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,250,0.001131380902194616,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,300,0.0010222602030895583,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,350,0.0009186530678589612,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,400,0.0008205594965028252,1060.044590591182,1574703.9556563366,824.6700000000001
C(#Cc1cc(F)cc2cccc(O)c12)[Si](C(C)C)(C(C)C)C(C)C,joback,450,0.00072797948902115,1060.044590591182,1574703.9556563366,824.6700000000001
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,250,0.0026570513434435758,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,300,0.002468361111938915,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,350,0.002286545153300194,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,400,0.0021116034675274114,1413.6464558069422,2183596.8206830285,1154.34
O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)N1CC[C@@H](O)[C@H](O)C1,joback,450,0.0019435360546205687,1413.6464558069422,2183596.8206830285,1154.34
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,250,0.0016591304398843,919.2788686326447,2058622.9953129266,725.48
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,300,0.001464287365027103,919.2788686326447,2058622.9953129266,725.48
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,350,0.0012815049712879348,919.2788686326447,2058622.9953129266,725.48
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,400,0.001110783258666796,919.2788686326447,2058622.9953129266,725.48
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,450,0.0009521222271636862,919.2788686326447,2058622.9953129266,725.48
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,250,0.0017666507743076098,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,300,0.0016002824397895101,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,350,0.0014420844069321485,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,400,0.001292056675735525,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,450,0.0011501992461996405,1094.706124771242,2431443.0322623313,846.0700000000002
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,250,0.00277939079328837,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,300,0.002551812929752933,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,350,0.002333837403125668,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,400,0.002125464213406575,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,450,0.0019266933605956546,1255.047216577415,2537926.1336598797,1023.44
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,250,0.001826370763719251,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,300,0.0016815878258883941,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,350,0.0015427452473102373,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,400,0.0014098430279847801,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,450,0.001282881167912023,1264.6327613846358,2309169.6433787677,981.46
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,250,0.001040946871460827,1019.2033023369663,1792421.7840906077,772.1600000000001
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,300,0.0009367462143398564,1019.2033023369663,1792421.7840906077,772.1600000000001
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,350,0.0008380326484325903,1019.2033023369663,1792421.7840906077,772.1600000000001
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,400,0.0007448061737390287,1019.2033023369663,1792421.7840906077,772.1600000000001
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,450,0.0006570667902591711,1019.2033023369663,1792421.7840906077,772.1600000000001
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,250,0.0015680952535300423,1428.6230411051788,1272781.3543640936,1166.9
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,300,0.0014598230111876702,1428.6230411051788,1272781.3543640936,1166.9
