name,CAS,ΔfusH (kJ/mol),Temperature (K),Reference,Comment,Method
Ethylbenzene,100-41-4,9.163,178.17,"Guthrie, Spitzer, et al., 1944",DH,
Ethylbenzene,100-41-4,9.16,178.2,"Domalski and Hearing, 1996",AC,
Ethylbenzene,100-41-4,9.163,178.0,"Huffman, Parks, et al., 1930, 2",DH,
o-Xylene,95-47-6,13.598,247.82,"Pitzer and Scott, 1943",DH,
o-Xylene,95-47-6,13.6,247.8,"Domalski and Hearing, 1996",AC,
m-Xylene,108-38-3,11.569,225.27,"Pitzer and Scott, 1943",DH,
m-Xylene,108-38-3,11.59,225.3,"Domalski and Hearing, 1996",AC,
p-Xylene,106-42-3,17.11746,286.405,"Messerly, Finke, et al., 1988, 2",DH,
p-Xylene,106-42-3,17.100,286.3,"Corruccini and Ginnings, 1947",DH,
p-Xylene,106-42-3,17.113,286.39,"Pitzer and Scott, 1943",DH,
p-Xylene,106-42-3,17.11,286.3,"Domalski and Hearing, 1996",AC,
p-Xylene,106-42-3,16.933,286.3,"Huffman, Parks, et al., 1930, 2",DH,
Styrene,100-42-5,10.964,242.27,"Warfield and Petree, 1961",DH,
Styrene,100-42-5,10.949,242.27,"Pitzer, Guttman, et al., 1946, 3",DH,
Styrene,100-42-5,10.950,242.47,"Guttman and Westrum, 1943",DH,
Styrene,100-42-5,10.950,242.47,"Lebedev, Lebedev, et al., 1985",DH,
Styrene,100-42-5,10.96,242.3,"Domalski and Hearing, 1996",AC,
Propylbenzene,103-65-1,9.27,173.6,"Acree, 1991",AC,
Isopropylbenzene,98-82-8,7.326,177.13,"Kishimoto, Suga, et al., 1973, 2",DH,
Isopropylbenzene,98-82-8,7.32,177.1,"Kishimoto, Suga, et al., 1973, 2",AC,
"1,2,3-Trimethylbenzene",526-73-8,8.18,247.8,"Domalski and Hearing, 1996",AC,
"1,2,4-Trimethylbenzene",95-63-6,13.19,229.3,"Domalski and Hearing, 1996",AC,
"1,2,4-Trimethylbenzene",95-63-6,12.648,228.6,"Huffman, Parks, et al., 1931, 2",DH,
"1,3,5-Trimethylbenzene",108-67-8,9.51,228.4,"Domalski and Hearing, 1996","See alsoRadomska and Radomski, 1991.;AC",
"1,3,5-Trimethylbenzene",108-67-8,9.51,228.4,"Radomska and Radomski, 1991",AC,
Butylbenzene,104-51-8,11.22,185.3,"Domalski and Hearing, 1996",AC,
Butylbenzene,104-51-8,10.979,184.6,"Huffman, Parks, et al., 1931, 2",DH,
tert-Butylbenzene,98-06-6,8.4,215.3,"Chirico and Steele, 2009",AC,"DSC,AC"
tert-Butylbenzene,98-06-6,8.41,215.,"Domalski and Hearing, 1996",AC,N/A
tert-Butylbenzene,98-06-6,8.397,215.0,"Huffman, Parks, et al., 1930, 2",DH,N/A
Tetralin,119-64-2,12.447,237.36,"McCullough, Finke, et al., 1957, 2",DH,
Tetralin,119-64-2,12.45,237.4,"Domalski and Hearing, 1996",AC,
Naphthalene,91-20-3,18.811,353.44,"Mastrangelo, 1957",DH,N/A
Naphthalene,91-20-3,18.226,353.43,"McCullough, Finke, et al., 1957",DH,N/A
Naphthalene,91-20-3,19.200,353.0,"Spaght, Thomas, et al., 1932",DH,N/A
Naphthalene,91-20-3,19.1,353.5,"Sharma, Gupta, et al., 2008",AC,DSC
Naphthalene,91-20-3,16.44,353.8,"Hafsaoui and Mahmoud, 2007",AC,DSC
Naphthalene,91-20-3,19.55,354.7,"Khimeche and Dahmani, 2006",AC,DSC
Naphthalene,91-20-3,19.55,354.7,"Khimeche and Dahmani, 2006, 2",AC,DSC
Naphthalene,91-20-3,19.0,353.4,"Chirico, Knipmeyer, et al., 2002",Based on data from 5. to 440. K.;AC,AC
Naphthalene,91-20-3,19.1,353.4,"Acree, 1991",AC,N/A
Naphthalene,91-20-3,19.020,354.1,"Syunyaev, Tumanyan, et al., 1984",Relative error in determination ± 5%.;DH,N/A
Naphthalene,91-20-3,19.100,353.5,"Rastogi and Bassi, 1964",DH,N/A
Naphthalene,91-20-3,18.785,353.,"Ueberreiter and Orthmann, 1950",DH,N/A
Naphthalene,91-20-3,18.790,353.4,"Eibert, 1944",DH,N/A
Naphthalene,91-20-3,19.040,353.4,"Schmidt, 1941",DH,N/A
Naphthalene,91-20-3,19.000,353.1,"Andrews, Lynn, et al., 1926",DH,N/A
Naphthalene,91-20-3,19.250,353.,"David, 1964",Temperature not measured.;DH,N/A
1-Methylnaphthalene,90-12-0,6.95,242.7,"Domalski and Hearing, 1996",AC,
2-Methylnaphthalene,91-57-6,12.13,307.7,"Domalski and Hearing, 1996",AC,
2-Methylnaphthalene,91-57-6,11.966,307.2,"Huffman, Parks, et al., 1931, 2",DH,
Biphenyl,92-52-4,18.5760,342.098,"Chirico, Knipmeyer, et al., 1989, 2",DH,N/A
Biphenyl,92-52-4,18.580,342.2,"O'Rourke and Mraw, 1983",DH,N/A
Biphenyl,92-52-4,18.800,344.1,"Smith, 1979",DH,N/A
Biphenyl,92-52-4,18.648,341.5,"Spaght, Thomas, et al., 1932",DH,N/A
Biphenyl,92-52-4,19.7,342.3,"Khimeche and Dahmani, 2006",AC,DSC
Biphenyl,92-52-4,19.27,344.34,"Benkhennouf, Kamel, et al., 2004",AC,DSC
