name,CAS,ΔvapS (J/mol*K),Temperature (K),Reference,Comment,ΔfusS (J/mol*K),"Cp,gas(J/mol*K)",ΔStrs(J/mol*K),Initial Phase,Final Phase,ΔsubS (J/mol*K)
p-Xylene,106-42-3,,700.,,,,258.1,,,,
p-Xylene,106-42-3,,800.,,,,278.9,,,,
p-Xylene,106-42-3,,900.,,,,296.4,,,,
p-Xylene,106-42-3,,1000.,,,,311.4,,,,
p-Xylene,106-42-3,,1100.,,,,324.2,,,,
p-Xylene,106-42-3,,1200.,,,,335.2,,,,
p-Xylene,106-42-3,,1300.,,,,344.7,,,,
p-Xylene,106-42-3,,1400.,,,,352.8,,,,
p-Xylene,106-42-3,,1500.,,,,359.9,,,,
p-Xylene,106-42-3,,393.,"Hossenlopp I.A., 1981","Please also seePitzer K.S., 1943,Taylor W.J., 1946.;GT",,163.2 ± 1.7,,,,
p-Xylene,106-42-3,,398.15,,,,166.52 ± 0.33,,,,
p-Xylene,106-42-3,,423.15,,,,175.82 ± 0.35,,,,
p-Xylene,106-42-3,,428.,,,,178.2 ± 1.7,,,,
p-Xylene,106-42-3,,448.15,,,,185.40 ± 0.37,,,,
p-Xylene,106-42-3,,463.,,,,189.1 ± 1.7,,,,
p-Xylene,106-42-3,,473.15,,,,194.17 ± 0.39,,,,
p-Xylene,106-42-3,,498.15,,,,202.92 ± 0.41,,,,
p-Xylene,106-42-3,,523.15,,,,211.09 ± 0.42,,,,
Styrene,100-42-5,,242.27,"Warfield and Petree, 1961",DH,45.32,,,,,
Styrene,100-42-5,,242.27,"Pitzer, Guttman, et al., 1946, 3",DH,45.16,,,,,
Styrene,100-42-5,,242.47,"Guttman and Westrum, 1943",DH,45.16,,,,,
Styrene,100-42-5,,242.47,"Lebedev, Lebedev, et al., 1985",DH,45.2,,,,,
Styrene,100-42-5,,373.15,"Scott R.B., 1945",GT,,151.29 ± 0.76,,,,
Styrene,100-42-5,,50.,"Thermodynamics Research Center, 1997","p=1 bar. Recommended values agree with other statistically calculated values of S(T) and Cp(T) [Beckett C.W., 1946] within 0.8 and 1.9 J/mol*K, respectively.;GT",,45.76,,,,
Styrene,100-42-5,,100.,,,,54.19,,,,
Styrene,100-42-5,,150.,,,,65.81,,,,
Styrene,100-42-5,,200.,,,,81.77,,,,
Styrene,100-42-5,,273.15,,,,110.03,,,,
Styrene,100-42-5,,298.15,,,,120.19,,,,
Styrene,100-42-5,,300.,,,,120.94,,,,
Styrene,100-42-5,,400.,,,,159.79,,,,
Styrene,100-42-5,,500.,,,,192.59,,,,
Styrene,100-42-5,,600.,,,,219.0,,,,
Styrene,100-42-5,,700.,,,,240.4,,,,
Styrene,100-42-5,,800.,,,,258.0,,,,
Styrene,100-42-5,,900.,,,,272.8,,,,
Styrene,100-42-5,,1000.,,,,285.2,,,,
Styrene,100-42-5,,1100.,,,,295.8,,,,
Styrene,100-42-5,,1200.,,,,304.9,,,,
Styrene,100-42-5,,1300.,,,,312.7,,,,
Styrene,100-42-5,,1400.,,,,319.4,,,,
Styrene,100-42-5,,1500.,,,,325.2,,,,
Propylbenzene,103-65-1,,171.67,"Messerly, Todd, et al., 1965, 2",DH,,,49.50,"crystaline, II",liquid,
Propylbenzene,103-65-1,,173.60,"Messerly, Todd, et al., 1965, 2",Metastable;DH,,,53.39,"crystaline, I",liquid,
Isopropylbenzene,98-82-8,,177.13,"Kishimoto, Suga, et al., 1973, 2",DH,41.36,,,,,
Isopropylbenzene,98-82-8,,177.1,"Kishimoto, Suga, et al., 1973",CAL,41.37,,,,,
"1,2,3-Trimethylbenzene",526-73-8,,218.7,"Domalski and Hearing, 1996",CAL,3.,,,,,
"1,2,3-Trimethylbenzene",526-73-8,,230.3,,,5.8,,,,,
"1,2,3-Trimethylbenzene",526-73-8,,247.8,,,33.01,,,,,
"1,2,3-Trimethylbenzene",526-73-8,,218.70,"Taylor, Johnson, et al., 1955, 2",DH,,,3.01,"crystaline, III","crystaline, II",
"1,2,3-Trimethylbenzene",526-73-8,,230.27,"Taylor, Johnson, et al., 1955, 2",DH,,,5.80,"crystaline, II","crystaline, I",
"1,2,3-Trimethylbenzene",526-73-8,,247.81,"Taylor, Johnson, et al., 1955, 2",DH,,,33.01,"crystaline, I",liquid,
"1,2,3-Trimethylbenzene",526-73-8,,200.,"Draeger, 1985","Discrepancies with other statistically calculated values [Taylor W.J., 1946,Hastings S.H., 1957,Thermodynamics Research Center, 1997] amount up to 5 J/mol*K in S(T) and Cp(T).;GT",,117.9,,,,
"1,2,3-Trimethylbenzene",526-73-8,,273.15,,,,148.3,,,,
"1,2,3-Trimethylbenzene",526-73-8,,298.15,,,,159.1 ± 0.4,,,,
"1,2,3-Trimethylbenzene",526-73-8,,300.,,,,159.9,,,,
"1,2,3-Trimethylbenzene",526-73-8,,400.,,,,202.6,,,,
"1,2,3-Trimethylbenzene",526-73-8,,500.,,,,241.5,,,,
"1,2,3-Trimethylbenzene",526-73-8,,600.,,,,274.7,,,,
"1,2,3-Trimethylbenzene",526-73-8,,700.,,,,302.8,,,,
"1,2,3-Trimethylbenzene",526-73-8,,800.,,,,326.7,,,,
"1,2,3-Trimethylbenzene",526-73-8,,900.,,,,347.0,,,,
"1,2,3-Trimethylbenzene",526-73-8,,1000.,,,,364.3,,,,
"1,2,3-Trimethylbenzene",526-73-8,,1100.,,,,379.2,,,,
"1,2,3-Trimethylbenzene",526-73-8,,1200.,,,,392.0,,,,
"1,2,3-Trimethylbenzene",526-73-8,,1300.,,,,402.9,,,,
"1,2,3-Trimethylbenzene",526-73-8,,1400.,,,,412.4,,,,
"1,2,3-Trimethylbenzene",526-73-8,,1500.,,,,420.6,,,,
"1,2,4-Trimethylbenzene",95-63-6,,228.6,"Huffman, Parks, et al., 1931, 2",DH,55.3,,,,,
"1,2,4-Trimethylbenzene",95-63-6,,229.33,"Putnam and Kilpatrick, 1957, 2",DH,,,57.53,"crystaline, I",liquid,
"1,2,4-Trimethylbenzene",95-63-6,,200.,"Draeger, 1985","Discrepancies with other statistically calculated values [Taylor W.J., 1946,Hastings S.H., 1957,Thermodynamics Research Center, 1997] amount up to 5 J/mol*K in S(T) and Cp(T).;GT",,113.1,,,,
"1,2,4-Trimethylbenzene",95-63-6,,273.15,,,,143.3,,,,
"1,2,4-Trimethylbenzene",95-63-6,,298.15,,,,154.1 ± 0.4,,,,
"1,2,4-Trimethylbenzene",95-63-6,,300.,,,,155.0,,,,
"1,2,4-Trimethylbenzene",95-63-6,,400.,,,,198.5,,,,
"1,2,4-Trimethylbenzene",95-63-6,,500.,,,,238.0,,,,
"1,2,4-Trimethylbenzene",95-63-6,,600.,,,,271.7,,,,
"1,2,4-Trimethylbenzene",95-63-6,,700.,,,,300.2,,,,
"1,2,4-Trimethylbenzene",95-63-6,,800.,,,,324.3,,,,
"1,2,4-Trimethylbenzene",95-63-6,,900.,,,,344.8,,,,
"1,2,4-Trimethylbenzene",95-63-6,,1000.,,,,362.3,,,,
"1,2,4-Trimethylbenzene",95-63-6,,1100.,,,,377.3,,,,
"1,2,4-Trimethylbenzene",95-63-6,,1200.,,,,390.2,,,,
"1,2,4-Trimethylbenzene",95-63-6,,1300.,,,,401.4,,,,
"1,2,4-Trimethylbenzene",95-63-6,,1400.,,,,411.0,,,,
"1,2,4-Trimethylbenzene",95-63-6,,1500.,,,,419.3,,,,
"1,3,5-Trimethylbenzene",108-67-8,,228.42,"Taylor and Kilpatrick, 1955, 2",Metastable;DH,,,41.65,"crystaline, I",liquid,
"1,3,5-Trimethylbenzene",108-67-8,,200.,"Draeger, 1985","Discrepancies with other statistically calculated values of S(T) and Cp(T) amount to 1, 2, and 3 J/mol*K for [Thermodynamics Research Center, 1997], [Pitzer K.S., 1943], and [Taylor W.J., 1946], respectively.",,104.3,,,,
"1,3,5-Trimethylbenzene",108-67-8,,273.15,,,,136.0,,,,
"1,3,5-Trimethylbenzene",108-67-8,,298.15,,,,147.4 ± 0.4,,,,
"1,3,5-Trimethylbenzene",108-67-8,,300.,,,,148.3,,,,
"1,3,5-Trimethylbenzene",108-67-8,,400.,,,,193.7,,,,
"1,3,5-Trimethylbenzene",108-67-8,,500.,,,,234.6,,,,
"1,3,5-Trimethylbenzene",108-67-8,,600.,,,,269.2,,,,
"1,3,5-Trimethylbenzene",108-67-8,,700.,,,,298.2,,,,
"1,3,5-Trimethylbenzene",108-67-8,,800.,,,,322.7,,,,
"1,3,5-Trimethylbenzene",108-67-8,,900.,,,,343.5,,,,
"1,3,5-Trimethylbenzene",108-67-8,,1000.,,,,361.2,,,,
"1,3,5-Trimethylbenzene",108-67-8,,1100.,,,,376.4,,,,
"1,3,5-Trimethylbenzene",108-67-8,,1200.,,,,389.5,,,,
"1,3,5-Trimethylbenzene",108-67-8,,1300.,,,,400.7,,,,
"1,3,5-Trimethylbenzene",108-67-8,,1400.,,,,410.4,,,,
"1,3,5-Trimethylbenzene",108-67-8,,1500.,,,,418.8,,,,
Butylbenzene,104-51-8,,184.6,"Huffman, Parks, et al., 1931, 2",DH,59.5,,,,,
Butylbenzene,104-51-8,,185.14,"Messerly, Todd, et al., 1965, 3",Metastable;DH,,,60.81,"crystaline, II",liquid,
Butylbenzene,104-51-8,,185.30,"Messerly, Todd, et al., 1965, 3",DH,,,60.56,"crystaline, I",liquid,
tert-Butylbenzene,98-06-6,,215.0,"Huffman, Parks, et al., 1930, 2",DH,39.06,,,,,
Tetralin,119-64-2,,237.36,"McCullough, Finke, et al., 1957, 2",DH,52.44,,,,,
Tetralin,119-64-2,,50.,"Dorofeeva O.V., 1988","Recommended values were calculated statistically mechanically using force field approximation for polycyclic aromatic hydrocarbons to estimate the needed vibrational frequencies (see also [Dorofeeva O.V., 1986]). These functions are reproduced in the reference book [Frenkel M., 1994]. Values of S(298.15 K)=368.6 and Cp(298.15 K)=146.6 J/mol*K were calculated using molecular constants estimated by molecular mechanics [Boyd R.H., 1971]. Discrepancies with semiempirical calculation [Szekely, 1955] amount to 14 and 6 J/mol*K for S and Cp at 298.15 K. Cp(298.15 K) calculated by semiempirical calculation [Vvedenskii A.A., 1957] agrees well with value recommended here.;GT",,39.51,,,,
Tetralin,119-64-2,,100.,,,,55.34,,,,
Tetralin,119-64-2,,150.,,,,75.22,,,,
Tetralin,119-64-2,,200.,,,,98.28,,,,
Tetralin,119-64-2,,273.15,,,,136.97,,,,
Tetralin,119-64-2,,298.15,,,,150.9 ± 2.0,,,,
Tetralin,119-64-2,,300.,,,,151.98,,,,
Tetralin,119-64-2,,400.,,,,206.65,,,,
Tetralin,119-64-2,,500.,,,,254.31,,,,
Tetralin,119-64-2,,600.,,,,293.63,,,,
Tetralin,119-64-2,,700.,,,,325.91,,,,
Tetralin,119-64-2,,800.,,,,352.66,,,,
Tetralin,119-64-2,,900.,,,,375.08,,,,
Tetralin,119-64-2,,1000.,,,,394.00,,,,
Tetralin,119-64-2,,1100.,,,,410.07,,,,
Tetralin,119-64-2,,1200.,,,,423.77,,,,
Tetralin,119-64-2,,1300.,,,,435.51,,,,
Tetralin,119-64-2,,1400.,,,,445.60,,,,
Tetralin,119-64-2,,1500.,,,,454.31,,,,
Naphthalene,91-20-3,219.3,323.,"Torres-Gomez, Barreiro-Rodriguez, et al., 1988",DH,,,,,,
Naphthalene,91-20-3,,298.15,"Torres-Gomez, Barreiro-Rodriguez, et al., 1988",DH,,,,,,242.6
Naphthalene,91-20-3,,353.43,"McCullough, Finke, et al., 1957",DH,51.57,,,,,
Naphthalene,91-20-3,,353.0,"Spaght, Thomas, et al., 1932",DH,54.4,,,,,
Naphthalene,91-20-3,,354.1,"Syunyaev, Tumanyan, et al., 1984",Relative;DH,53.7,,,,,
Naphthalene,91-20-3,,353.5,"Rastogi and Bassi, 1964",DH,54.0,,,,,
Naphthalene,91-20-3,,353.,"Ueberreiter and Orthmann, 1950",DH,53.2,,,,,
Naphthalene,91-20-3,,353.4,"Eibert, 1944",DH,53.2,,,,,
Naphthalene,91-20-3,,353.4,"Schmidt, 1941",DH,53.9,,,,,
Naphthalene,91-20-3,,353.1,"Andrews, Lynn, et al., 1926",DH,53.8,,,,,
Naphthalene,91-20-3,,353.,"David, 1964",Temperature;DH,55.,,,,,
Naphthalene,91-20-3,,353.376,"Andon and Connett, 1980",DH,,,53.90,"crystaline, I",liquid,
Naphthalene,91-20-3,,353.8,"Radomska and Radomski, 1980",DH,,,53.70,"crystaline, I",liquid,
Naphthalene,91-20-3,,50.,"Thermodynamics Research Center, 1997","p=1 bar. Selected values of S(T) and Cp(T) agree with those calculated by statistical thermodynamics method [Dorofeeva O.V., 1986,Dorofeeva O.V., 1988] within 1.2 J/mol*K. Discrepancies with other calculations [Barrow G.M., 1951,McClellan A.L., 1955, 79CHE/KUD,Lielmezs J., 1981] reach 2-3 J/mol*K.;GT",,36.18,,,,
Naphthalene,91-20-3,,100.,,,,47.50,,,,
Naphthalene,91-20-3,,150.,,,,63.89,,,,
Naphthalene,91-20-3,,200.,,,,84.99,,,,
Naphthalene,91-20-3,,273.15,,,,120.52,,,,
Naphthalene,91-20-3,,298.15,,,,133.02,,,,
Naphthalene,91-20-3,,300.,,,,133.94,,,,
Naphthalene,91-20-3,,400.,,,,181.16,,,,
Naphthalene,91-20-3,,500.,,,,220.70,,,,
Naphthalene,91-20-3,,600.,,,,252.37,,,,
Naphthalene,91-20-3,,700.,,,,277.77,,,,
Naphthalene,91-20-3,,800.,,,,298.43,,,,
Naphthalene,91-20-3,,900.,,,,315.50,,,,
Naphthalene,91-20-3,,1000.,,,,329.77,,,,
Naphthalene,91-20-3,,1100.,,,,341.8,,,,
Naphthalene,91-20-3,,1200.,,,,352.0,,,,
Naphthalene,91-20-3,,1300.,,,,360.8,,,,
Naphthalene,91-20-3,,1400.,,,,368.2,,,,
Naphthalene,91-20-3,,1500.,,,,374.7,,,,
Naphthalene,91-20-3,,451.0,"Barrow G.M., 1951",GT,,201.6 ± 2.0,,,,
Naphthalene,91-20-3,,522.7,,,,226.7 ± 2.3,,,,
1-Methylnaphthalene,90-12-0,,240.7,"Domalski and Hearing, 1996",CAL,20.69,,,,,
1-Methylnaphthalene,90-12-0,,242.7,,,28.62,,,,,
1-Methylnaphthalene,90-12-0,,240.70,"McCullough, Finke, et al., 1957, 2",DH,,,20.68,"crystaline, II","crystaline, I",
1-Methylnaphthalene,90-12-0,,242.70,"McCullough, Finke, et al., 1957, 2",DH,,,28.62,"crystaline, I",liquid,
1-Methylnaphthalene,90-12-0,,50.,"Thermodynamics Research Center, 1997",p=1 bar.;GT,,39.1,,,,
1-Methylnaphthalene,90-12-0,,100.,,,,59.1,,,,
1-Methylnaphthalene,90-12-0,,150.,,,,81.1,,,,
1-Methylnaphthalene,90-12-0,,200.,,,,105.9,,,,
1-Methylnaphthalene,90-12-0,,273.15,,,,145.6,,,,
1-Methylnaphthalene,90-12-0,,298.15,,,,159.3,,,,
1-Methylnaphthalene,90-12-0,,300.,,,,160.4,,,,
1-Methylnaphthalene,90-12-0,,400.,,,,212.3,,,,
1-Methylnaphthalene,90-12-0,,500.,,,,256.2,,,,
1-Methylnaphthalene,90-12-0,,600.,,,,291.8,,,,
1-Methylnaphthalene,90-12-0,,700.,,,,320.7,,,,
1-Methylnaphthalene,90-12-0,,800.,,,,344.5,,,,
1-Methylnaphthalene,90-12-0,,900.,,,,364.3,,,,
1-Methylnaphthalene,90-12-0,,1000.,,,,381.0,,,,
1-Methylnaphthalene,90-12-0,,1100.,,,,395.,,,,
1-Methylnaphthalene,90-12-0,,1200.,,,,407.,,,,
1-Methylnaphthalene,90-12-0,,1300.,,,,418.,,,,
1-Methylnaphthalene,90-12-0,,1400.,,,,426.,,,,
1-Methylnaphthalene,90-12-0,,1500.,,,,434.,,,,
2-Methylnaphthalene,91-57-6,,307.2,"Huffman, Parks, et al., 1931, 2",DH,39.0,,,,,
2-Methylnaphthalene,91-57-6,,288.5,"Domalski and Hearing, 1996",CAL,19.43,,,,,
2-Methylnaphthalene,91-57-6,,307.7,,,39.43,,,,,
2-Methylnaphthalene,91-57-6,,288.5,"McCullough, Finke, et al., 1957, 2",DH,,,19.43,"crystaline, II","crystaline, I",
2-Methylnaphthalene,91-57-6,,307.73,"McCullough, Finke, et al., 1957, 2",DH,,,39.40,"crystaline, I",liquid,
2-Methylnaphthalene,91-57-6,,50.,"Thermodynamics Research Center, 1997",p=1 bar.;GT,,43.3,,,,
2-Methylnaphthalene,91-57-6,,100.,,,,61.9,,,,
2-Methylnaphthalene,91-57-6,,150.,,,,80.8,,,,
2-Methylnaphthalene,91-57-6,,200.,,,,103.2,,,,
2-Methylnaphthalene,91-57-6,,273.15,,,,141.1,,,,
2-Methylnaphthalene,91-57-6,,298.15,,,,154.6,,,,
2-Methylnaphthalene,91-57-6,,300.,,,,155.6,,,,
2-Methylnaphthalene,91-57-6,,400.,,,,207.7,,,,
2-Methylnaphthalene,91-57-6,,500.,,,,252.2,,,,
2-Methylnaphthalene,91-57-6,,600.,,,,288.5,,,,
2-Methylnaphthalene,91-57-6,,700.,,,,318.0,,,,
2-Methylnaphthalene,91-57-6,,800.,,,,342.3,,,,
2-Methylnaphthalene,91-57-6,,900.,,,,362.5,,,,
2-Methylnaphthalene,91-57-6,,1000.,,,,379.4,,,,
2-Methylnaphthalene,91-57-6,,1100.,,,,394.,,,,
2-Methylnaphthalene,91-57-6,,1200.,,,,406.,,,,
2-Methylnaphthalene,91-57-6,,1300.,,,,417.,,,,
2-Methylnaphthalene,91-57-6,,1400.,,,,426.,,,,
2-Methylnaphthalene,91-57-6,,1500.,,,,433.,,,,
Biphenyl,92-52-4,,298.15,"Chirico, Knipmeyer, et al., 1989, 2",DH,,,,,,273.42
Biphenyl,92-52-4,,342.098,"Chirico, Knipmeyer, et al., 1989, 2",DH,54.300,,,,,
Biphenyl,92-52-4,,342.2,"O'Rourke and Mraw, 1983",DH,54.3,,,,,
Biphenyl,92-52-4,,344.1,"Smith, 1979",DH,54.6,,,,,
Biphenyl,92-52-4,,341.5,"Spaght, Thomas, et al., 1932",DH,54.6,,,,,
Biphenyl,92-52-4,,341.5,"Domalski and Hearing, 1996",CAL,54.81,,,,,
Biphenyl,92-52-4,,343.,"Ueberreiter and Orthmann, 1950",DH,54.2,,,,,
Biphenyl,92-52-4,,342.,"Schmidt, 1941",DH,54.4,,,,,
Biphenyl,92-52-4,,314.3,"Eykman, 1889",DH,60.3,,,,,
Biphenyl,92-52-4,,16.8,"Saito, Atake, et al., 1988",DH,,,0.009,"crystaline, III, Lock","crystaline, II, in transition",
Biphenyl,92-52-4,,40.4,"Saito, Atake, et al., 1988",Twist;DH,,,0.129,"crystaline, II","crystaline, I",
Biphenyl,92-52-4,,16.8,"Atake, Saito, et al., 1983",Anomalous;DH,,,0.009,"crystaline, III","crystaline, II",
Biphenyl,92-52-4,,40.4,"Atake, Saito, et al., 1983",Anomalous;DH,,,0.129,"crystaline, II","crystaline, I",
Biphenyl,92-52-4,,11.0,"Ataki and Chihara, 1980",DH,,,0.025,"crystaline, III","crystaline, II",
Biphenyl,92-52-4,,40.4,"Ataki and Chihara, 1980",DH,,,0.129,"crystaline, II","crystaline, I",
Biphenyl,92-52-4,,343.3,"Wasicki, Radomska, et al., 1982",DH,,,58.0,"crystaline, I",liquid,
Biphenyl,92-52-4,,50.,"Dorofeeva O.V., 1997","None of the statistically calculated values of S(T) known from literature [Trevissoi C., 1955,Katon J.E., 1959,Aleman H., 1973,Thermodynamics Research Center, 1997] is in full accord with experimental data (see also discussion in [Chirico R.D., 1989]). Recommended values agree with experimental values within their uncertainties except for temperature range 340-460 K where discrepancies amount to 0.4-0.6 J/mol*K.;GT",,50.35,,,,
Biphenyl,92-52-4,,100.,,,,64.83,,,,
Biphenyl,92-52-4,,150.,,,,84.28,,,,
Biphenyl,92-52-4,,200.,,,,108.91,,,,
Biphenyl,92-52-4,,273.15,,,,151.47,,,,
Biphenyl,92-52-4,,298.15,,,,166.7 ± 1.0,,,,
Biphenyl,92-52-4,,300.,,,,167.80,,,,
Biphenyl,92-52-4,,400.,,,,225.53,,,,
Biphenyl,92-52-4,,500.,,,,273.62,,,,
Biphenyl,92-52-4,,600.,,,,311.78,,,,
Biphenyl,92-52-4,,700.,,,,342.14,,,,
Biphenyl,92-52-4,,800.,,,,366.75,,,,
Biphenyl,92-52-4,,900.,,,,387.07,,,,
Biphenyl,92-52-4,,1000.,,,,404.06,,,,
Biphenyl,92-52-4,,1100.,,,,418.42,,,,
Biphenyl,92-52-4,,1200.,,,,430.64,,,,
Biphenyl,92-52-4,,1300.,,,,441.10,,,,
Biphenyl,92-52-4,,1400.,,,,450.09,,,,
Biphenyl,92-52-4,,1500.,,,,457.86,,,,
Indane,496-11-7,,221.77,"Stull, Sinke, et al., 1959, 2",DH,38.77,,,,,
Indane,496-11-7,,73.82,"Stull, Sinke, et al., 1961",DH,,,10.57,"crystaline, II","crystaline, I",
Indane,496-11-7,,221.77,"Stull, Sinke, et al., 1961",DH,,,38.77,"crystaline, I",liquid,
Indane,496-11-7,,50.,"Dorofeeva O.V., 1989",GT,,38.85,,,,
Indane,496-11-7,,100.,,,,50.43,,,,
Indane,496-11-7,,150.,,,,65.21,,,,
Indane,496-11-7,,200.,,,,84.35,,,,
Indane,496-11-7,,273.15,,,,118.32,,,,
Indane,496-11-7,,298.15,,,,130.7 ± 1.0,,,,
Indane,496-11-7,,300.,,,,131.67,,,,
Indane,496-11-7,,400.,,,,180.16,,,,
Indane,496-11-7,,500.,,,,221.92,,,,
Indane,496-11-7,,600.,,,,255.92,,,,
Indane,496-11-7,,700.,,,,283.54,,,,
Indane,496-11-7,,800.,,,,306.26,,,,
Indane,496-11-7,,900.,,,,325.20,,,,
Indane,496-11-7,,1000.,,,,341.14,,,,
Indane,496-11-7,,1100.,,,,354.66,,,,
Indane,496-11-7,,1200.,,,,366.17,,,,
Indane,496-11-7,,1300.,,,,376.03,,,,
Indane,496-11-7,,1400.,,,,384.51,,,,
Indane,496-11-7,,1500.,,,,391.82,,,,
Indane,496-11-7,,435.65,"Hossenlopp I.A., 1981",GT,,193.64 ± 0.39,,,,
Indane,496-11-7,,448.15,,,,199.15 ± 0.39,,,,
Indane,496-11-7,,473.15,,,,209.22 ± 0.39,,,,
Indane,496-11-7,,498.15,,,,219.20 ± 0.39,,,,
Indane,496-11-7,,523.15,,,,228.37 ± 0.39,,,,
Fluorene,86-73-7,,387.0,"Eibert, 1944",DH,51.3,,,,,
Fluorene,86-73-7,,387.94,"Finke, Messerly, et al., 1977, 2",DH,,,50.47,"crystaline, I",liquid,
Fluorene,86-73-7,,50.,"Dorofeeva O.V., 1989","Recommended values are also reproduced in the reference book [Frenkel M., 1994]. These statistically calculated S(T) values agree with experimental ones within 1 J/mol*K.;GT",,39.65,,,,
Fluorene,86-73-7,,100.,,,,57.90,,,,
Fluorene,86-73-7,,150.,,,,81.47,,,,
Fluorene,86-73-7,,200.,,,,109.90,,,,
Fluorene,86-73-7,,273.15,,,,156.72,,,,
Fluorene,86-73-7,,298.15,,,,173.1 ± 1.0,,,,
Fluorene,86-73-7,,300.,,,,174.31,,,,
Fluorene,86-73-7,,400.,,,,236.02,,,,
Fluorene,86-73-7,,500.,,,,287.48,,,,
Fluorene,86-73-7,,600.,,,,328.52,,,,
Fluorene,86-73-7,,700.,,,,361.28,,,,
Fluorene,86-73-7,,800.,,,,387.83,,,,
Fluorene,86-73-7,,900.,,,,409.68,,,,
Fluorene,86-73-7,,1000.,,,,427.89,,,,
Fluorene,86-73-7,,1100.,,,,443.21,,,,
Fluorene,86-73-7,,1200.,,,,456.17,,,,
Fluorene,86-73-7,,1300.,,,,467.22,,,,
Fluorene,86-73-7,,1400.,,,,476.68,,,,
Fluorene,86-73-7,,1500.,,,,484.83,,,,
Acenaphthene,83-32-9,,366.56,"Finke, Messerly, et al., 1977, 2",DH,58.55,,,,,
Acenaphthene,83-32-9,,366.4,"Sadowska, Stepniewska, et al., 1969",DH,55.22,,,,,
Acenaphthene,83-32-9,,367.8,"Eibert, 1944",DH,68.2,,,,,
Acenaphthene,83-32-9,,50.,"Dorofeeva O.V., 1989",GT,,38.72,,,,
Acenaphthene,83-32-9,,100.,,,,55.21,,,,
Acenaphthene,83-32-9,,150.,,,,77.31,,,,
Acenaphthene,83-32-9,,200.,,,,103.81,,,,
Acenaphthene,83-32-9,,273.15,,,,147.01,,,,
Acenaphthene,83-32-9,,298.15,,,,162.2 ± 1.0,,,,
Acenaphthene,83-32-9,,300.,,,,163.27,,,,
Acenaphthene,83-32-9,,400.,,,,220.85,,,,
Acenaphthene,83-32-9,,500.,,,,269.56,,,,
Acenaphthene,83-32-9,,600.,,,,308.84,,,,
Acenaphthene,83-32-9,,700.,,,,340.46,,,,
Acenaphthene,83-32-9,,800.,,,,366.25,,,,
Acenaphthene,83-32-9,,900.,,,,387.56,,,,
Acenaphthene,83-32-9,,1000.,,,,405.37,,,,
Acenaphthene,83-32-9,,1100.,,,,420.36,,,,
Acenaphthene,83-32-9,,1200.,,,,433.08,,,,
Acenaphthene,83-32-9,,1300.,,,,443.92,,,,
Acenaphthene,83-32-9,,1400.,,,,453.21,,,,
Acenaphthene,83-32-9,,1500.,,,,461.21,,,,
Phenanthrene,85-01-8,249.3,350.,"Torres-Gomez, Barreiro-Rodriguez, et al., 1988",DH,,,,,,
Phenanthrene,85-01-8,,298.15,"Torres-Gomez, Barreiro-Rodriguez, et al., 1988",DH,,,,,,304.9
Phenanthrene,85-01-8,,(373.),"Rai, Singh, et al., 1987",DH,49.9,,,,,
Phenanthrene,85-01-8,,373.2,"Rastogi and Bassi, 1964",DH,48.2,,,,,
Phenanthrene,85-01-8,,371.4,"Eibert, 1944",DH,46.2,,,,,
Phenanthrene,85-01-8,,371.7,"Schmidt, 1941",DH,46.1,,,,,
Phenanthrene,85-01-8,,332.2,"Petropavlov, Tsygankova, et al., 1988",DH,,,3.0,"crystaline, II","crystaline, I",
Phenanthrene,85-01-8,,347.5,"Finke, Messerly, et al., 1977, 2",Lambda;DH,,,0.63,"crystaline, II","crystaline, I",
Phenanthrene,85-01-8,,372.38,"Finke, Messerly, et al., 1977, 2",DH,,,44.21,"crystaline, I",liquid,
Phenanthrene,85-01-8,,342.,"Ueberreiter and Orthmann, 1950",DH,,,7.6,"crystaline, II","crystaline, I",
Phenanthrene,85-01-8,,373.,"Ueberreiter and Orthmann, 1950",DH,,,49.9,"crystaline, I",liquid,
Phenanthrene,85-01-8,,50.,"Dorofeeva O.V., 1988","These functions are also reproduced in the reference book [Frenkel M., 1994]. Recommended values of S(T) and Cp(T) agree with those calculated by [Kudchadker S.A., 1979] within 1.3 J/mol*K.;GT",,41.35,,,,
Phenanthrene,85-01-8,,100.,,,,62.23,,,,
Phenanthrene,85-01-8,,150.,,,,88.70,,,,
Phenanthrene,85-01-8,,200.,,,,119.57,,,,
Phenanthrene,85-01-8,,273.15,,,,168.72,,,,
Phenanthrene,85-01-8,,298.15,,,,185.7 ± 1.0,,,,
Phenanthrene,85-01-8,,300.,,,,186.91,,,,
Phenanthrene,85-01-8,,400.,,,,250.42,,,,
Phenanthrene,85-01-8,,500.,,,,303.40,,,,
Phenanthrene,85-01-8,,600.,,,,345.75,,,,
Phenanthrene,85-01-8,,700.,,,,379.61,,,,
Phenanthrene,85-01-8,,800.,,,,407.06,,,,
Phenanthrene,85-01-8,,900.,,,,429.65,,,,
Phenanthrene,85-01-8,,1000.,,,,448.46,,,,
Phenanthrene,85-01-8,,1100.,,,,464.28,,,,
Phenanthrene,85-01-8,,1200.,,,,477.68,,,,
Phenanthrene,85-01-8,,1300.,,,,489.09,,,,
Phenanthrene,85-01-8,,1400.,,,,498.87,,,,
Phenanthrene,85-01-8,,1500.,,,,507.29,,,,
