name,CAS,Quantity,Value,Units,Method,Reference,Comment
Fluorene,86-73-7,ΔfH°gas,176.7 ± 3.1,kJ/mol,Review,"Roux, Temprado, et al., 2008","There are sufficient literature values to make a qualified recommendation where the suggested value is in good agreement with values predicted using thermochemical cycles or from reliable estimates. In general, the evaluated uncertainty limits are on the order of (2 to 4) kJ/mol.;DRB"
Fluorene,86-73-7,ΔfH°gas,175.0 ± 1.5,kJ/mol,Ccr,"Rakus, Verevkin, et al., 1994",ALS
Fluorene,86-73-7,ΔfH°gas,166.9 ± 4.1,kJ/mol,Ccb,"Sabbah, 1991","seeSabbah and Antipine, 1987;ALS"
Acenaphthene,83-32-9,ΔfH°gas,156.8 ± 3.1,kJ/mol,Review,"Roux, Temprado, et al., 2008","There are sufficient literature values to make a qualified recommendation where the suggested value is in good agreement with values predicted using thermochemical cycles or from reliable estimates. In general, the evaluated uncertainty limits are on the order of (2 to 4) kJ/mol.;DRB"
Acenaphthene,83-32-9,ΔfH°gas,156. ± 4.,kJ/mol,Ccb,"Boyd, Christensen, et al., 1965",ALS
Phenanthrene,85-01-8,ΔfH°gas,202.2 ± 2.3,kJ/mol,Review,"Roux, Temprado, et al., 2008","There are sufficient high-quality literature values to make a good evaluation with a high degree of confidence. In general, the evaluated uncertainty limits are on the order of (0.5 to 2.5) kJ/mol.;DRB"
Phenanthrene,85-01-8,ΔfH°gas,201.2 ± 4.7,kJ/mol,Ccb,"Steele, Chirico, et al., 1990",Δ Hfusion = 15.96±0.05 kJ/mol;ALS
Phenanthrene,85-01-8,ΔfH°gas,206.9 ± 4.6,kJ/mol,Ccb,"Coleman and Pilcher, 1966",Author was aware that data differs from previously reported values;ALS
Phenanthrene,85-01-8,ΔfH°gas,203.8,kJ/mol,N/A,"Bender and Farber, 1952","Value computed using ΔfHsolid° value of 113.0 kj/mol fromBender and Farber, 1952and ΔsubH° value of 90.8 kj/mol fromBender and Farber, 1952.;DRB"
Phenanthrene,85-01-8,ΔfH°gas,163.6,kJ/mol,N/A,"Richardson and Parks, 1939","Value computed using ΔfHsolid° value of 72.8±2.6 kj/mol fromRichardson and Parks, 1939and ΔsubH° value of 90.8 kj/mol fromRichardson and Parks, 1939.;DRB"
Anthracene,120-12-7,ΔfH°gas,223. ± 10.,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
1-Pentene,109-67-1,ΔfH°gas,-22. ± 9.,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
1-Hexene,592-41-6,ΔfH°gas,-42. ± 2.,kJ/mol,AVG,N/A,Average of 10 values;Individual data points
1-Octene,111-66-0,ΔfH°gas,-82.93,kJ/mol,Chyd,"Bretschneider and Rogers, 1970",
