name,CAS,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,ΔfH°gas,-129.4,kJ/mol,N/A,"Moore, Renquist, et al., 1940","Value computed using ΔfHliquid° value of -165.8±1.6 kj/mol fromMoore, Renquist, et al., 1940and ΔvapH° value of 36.4 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,S°gas,378.32,J/mol*K,N/A,"Stull D.R., 1969","This value was obtained using low temperature data of [Gross M.E., 1953].;GT"
Ethylcyclohexane,1678-91-7,ΔfH°gas,-172.6,kJ/mol,N/A,"Baroody and Carpenter, 1972","Value computed using ΔfHliquid° value of -213.0 kj/mol fromBaroody and Carpenter, 1972and ΔvapH° value of 40.4 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Ethylcyclohexane,1678-91-7,ΔfH°gas,-171.8 ± 1.5,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Ethylcyclohexane,1678-91-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclohexane,1678-91-7,S°gas,382.67,J/mol*K,N/A,"Huffman H.M., 1949",GT
Propylcyclohexane,1678-92-8,ΔfH°gas,-192.4,kJ/mol,N/A,"Good, 1970","Value computed using ΔfHliquid° value of -237.5±1.1 kj/mol fromGood, 1970and ΔvapH° value of 45.1 kj/mol fromProsen, Johnson, et al., 1946.;DRB"
Propylcyclohexane,1678-92-8,ΔfH°gas,-193.3 ± 1.3,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Propylcyclohexane,1678-92-8,Quantity,Value,Units,Method,Reference,Comment
Propylcyclohexane,1678-92-8,S°gas,419.86,J/mol*K,N/A,"Finke H.L., 1965",GT
Butylcyclohexane,1678-93-9,ΔfH°gas,-213.2 ± 1.4,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Butylcyclohexane,1678-93-9,Quantity,Value,Units,Method,Reference,Comment
Butylcyclohexane,1678-93-9,S°gas,459.78,J/mol*K,N/A,"Finke H.L., 1965",GT
Pentylcyclohexane,4292-92-6,ΔfH°gas,-233.8 ± 1.7,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",
Hexylcyclohexane,4292-75-5,ΔfH°gas,-254.4 ± 1.8,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",
trans-Decalin,493-02-7,ΔfH°gas,-182.2 ± 2.3,kJ/mol,Ccb,"Speros and Rossini, 1960",ALS
trans-Decalin,493-02-7,ΔfH°gas,-180.2,kJ/mol,N/A,"Davies and Gilbert, 1941","Value computed using ΔfHliquid° value of -228.7±1.3 kj/mol fromDavies and Gilbert, 1941and ΔvapH° value of 48.5 kj/mol fromSperos and Rossini, 1960.;DRB"
cis-Decalin,493-01-6,ΔfH°gas,-169.2 ± 2.3,kJ/mol,Ccb,"Speros and Rossini, 1960",ALS
cis-Decalin,493-01-6,ΔfH°gas,-169.6,kJ/mol,N/A,"Davies and Gilbert, 1941","Value computed using ΔfHliquid° value of -219.9±1.3 kj/mol fromDavies and Gilbert, 1941and ΔvapH° value of 50.3 kj/mol fromSperos and Rossini, 1960.;DRB"
Bicyclohexyl,92-51-3,ΔfH°gas,-218.4 ± 3.1,kJ/mol,Ccb,"Montgomery, Rossini, et al., 1978",ALS
Bicyclohexyl,92-51-3,ΔfH°gas,-215.3,kJ/mol,N/A,"Good and Lee, 1976","Value computed using ΔfHliquid° value of -273.3±1.2 kj/mol fromGood and Lee, 1976and ΔvapH° value of 58.0 kj/mol fromMontgomery, Rossini, et al., 1978.;DRB"
Benzene,71-43-2,ΔfH°gas,82.9 ± 0.9,kJ/mol,Review,"Roux, Temprado, et al., 2008","There are sufficient high-quality literature values to make a good evaluation with a high degree of confidence. In general, the evaluated uncertainty limits are on the order of (0.5 to 2.5) kJ/mol.;DRB"
Benzene,71-43-2,ΔfH°gas,82.8,kJ/mol,N/A,"Good and Smith, 1969","Value computed using ΔfHliquid° value of 49.0±0.5 kj/mol fromGood and Smith, 1969and ΔvapH° value of 33.9 kj/mol fromProsen, Gilmont, et al., 1945.;DRB"
Benzene,71-43-2,ΔfH°gas,82.93 ± 0.50,kJ/mol,Ccb,"Prosen, Gilmont, et al., 1945","Hf byProsen, Johnson, et al., 1946;ALS"
Benzene,71-43-2,ΔfH°gas,79.9,kJ/mol,N/A,"Landrieu, Baylocq, et al., 1929","Value computed using ΔfHliquid° value of 46.0 kj/mol fromLandrieu, Baylocq, et al., 1929and ΔvapH° value of 33.9 kj/mol fromProsen, Gilmont, et al., 1945.;DRB"
Toluene,108-88-3,ΔfH°gas,50.1 ± 1.1,kJ/mol,Review,"Roux, Temprado, et al., 2008","There are sufficient high-quality literature values to make a good evaluation with a high degree of confidence. In general, the evaluated uncertainty limits are on the order of (0.5 to 2.5) kJ/mol.;DRB"
Toluene,108-88-3,ΔfH°gas,50.00 ± 0.63,kJ/mol,Ccb,"Prosen, Gilmont, et al., 1945","Hf byProsen, Johnson, et al., 1946;ALS"
Toluene,108-88-3,ΔfH°gas,48.0,kJ/mol,N/A,"Schmidlin, 1906","Value computed using ΔfHliquid° value of 10.0 kj/mol fromSchmidlin, 1906and ΔvapH° value of 38.0 kj/mol fromProsen, Gilmont, et al., 1945.;DRB"
Ethylbenzene,100-41-4,ΔfH°gas,29.8 ± 0.84,kJ/mol,Ccb,"Prosen, Gilmont, et al., 1945","Hf byProsen, Johnson, et al., 1946;ALS"
Ethylbenzene,100-41-4,ΔfH°gas,49.0 ± 4.0,kJ/mol,Ccb,N/A,"Value computed using ΔfHliquid° frommissing citationand ΔvapH° value of 42.2 kJ/mol frommissing citation. recalculated with modern CO2,H2O thermo; estimated uncertainty (NOTE all values in source also have wrong sign);DRB"
Ethylbenzene,100-41-4,ΔfH°gas,69.3,kJ/mol,N/A,"Moureu and Andre, 1914","Value computed using ΔfHliquid° value of 27.0 kj/mol fromMoureu and Andre, 1914and ΔvapH° value of 42.3 kj/mol fromProsen, Gilmont, et al., 1945.;DRB"
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,S°gas,360.6 ± 0.5,J/mol*K,N/A,"Miller A., 1978","S(298.16 K)=361.5 J/mol*K was obtained from earlier experimental data [Guttman L., 1943].;GT"
o-Xylene,95-47-6,ΔfH°gas,19.0 ± 1.1,kJ/mol,Ccb,"Prosen, Gilmont, et al., 1945","Hf byProsen, Johnson, et al., 1946;ALS"
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,S°gas,353.6 ± 1.3,J/mol*K,N/A,"Pitzer K.S., 1943",GT
m-Xylene,108-38-3,ΔfH°gas,17.2 ± 0.75,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,S°gas,358.2 ± 1.3,J/mol*K,N/A,"Pitzer K.S., 1943",GT
p-Xylene,106-42-3,ΔfH°gas,17.9 ± 1.0,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",ALS
Styrene,100-42-5,ΔfH°gas,146.9 ± 1.0,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
