name,CAS,ΔvapH (kJ/mol),Temperature (K),Method,Reference,Comment,260. to 428.,298. to 444.,298. to 426.,298. to 353.,292. to 422.,293. to 469.
Anthracene,120-12-7,62.1,500.,N/A,"Kudchadker, Kudchadker, et al., 1979","See alsoHanshaw, Nutt, et al., 2008.;AC",,,,,,
Anthracene,120-12-7,59.2,558.,I,"Mortimer and Murphy, 1923",Based on data from 500. to 616. K.;AC,,,,,,
Anthracene,120-12-7,60.3,515.,I,"Mortimer and Murphy, 1923","Based on data from 500. to 616. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
Anthracene,120-12-7,59.6,555.,I,"NELSON and SENSEMAN, 1922",Based on data from 496. to 614. K.;AC,,,,,,
Anthracene,120-12-7,60.7,511.,I,"NELSON and SENSEMAN, 1922","Based on data from 496. to 614. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
Hexylbenzene,1077-16-3,61.6,289.,,"Kasehgari, Mokbel, et al., 1993",Based on data from 274. to 463. K.;AC,,,,,,
"1,3-Diethylbenzene",141-93-5,45.8,383.,A,"Stephenson and Malanowski, 1987","Based on data from 368. to 457. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
"1,4-Diethylbenzene",105-05-5,45.8,384.,A,"Stephenson and Malanowski, 1987","Based on data from 369. to 464. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
Dodecylbenzene,123-01-3,92.,275.,N/A,"Mokbel, Ruzicka, et al., 2000",AC,,,,,,
Dodecylbenzene,123-01-3,83.2,348.,N/A,"Kasehgari, Mokbel, et al., 1993",Based on data from 333. to 453. K.;AC,,,,,,
Dodecylbenzene,123-01-3,67.4,511.,A,"Stephenson and Malanowski, 1987",Based on data from 496. to 609. K.;AC,,,,,,
Dodecylbenzene,123-01-3,80.6,356.,GS,"Allemand, Jose, et al., 1986",Based on data from 336. to 456. K.;AC,,,,,,
1-Pentene,109-67-1,25.2,303.1,N/A,"Majer and Svoboda, 1985",,,,,,,
1-Pentene,109-67-1,29.1,233.,A,"Stephenson and Malanowski, 1987",Based on data from 218. to 311. K.;AC,,,,,,
1-Pentene,109-67-1,26.7,295.,MM,"Forziati, Camin, et al., 1950",Based on data from 286. to 304. K.;AC,,,,,,
1-Pentene,109-67-1,26.9,288.,N/A,"Scott, Waddington, et al., 1949",Based on data from 273. to 334. K.;AC,,,,,,
1-Pentene,109-67-1,26.2 ± 0.1,284.,C,"Scott, Waddington, et al., 1949",AC,,,,,,
1-Pentene,109-67-1,25.2 ± 0.1,303.,C,"Scott, Waddington, et al., 1949",AC,,,,,,
1-Pentene,109-67-1,26.3,290.,N/A,"Day, Nicholson, et al., 1948",Based on data from 273. to 308. K.;AC,,,,,,
1-Pentene,109-67-1,25.7,341.,N/A,"Day, Nicholson, et al., 1948",Based on data from 313. to 368. K.;AC,,,,,,
1-Hexene,592-41-6,30.4,313.,N/A,"Marrufo, Aucejo, et al., 2009",Based on data from 298. to 336. K.;AC,,,,,,
1-Hexene,592-41-6,30.6,315.,N/A,"Segura, Lam, et al., 2001",Based on data from 300. to 337. K.;AC,,,,,,
1-Hexene,592-41-6,31.6,288.,A,"Stephenson and Malanowski, 1987",Based on data from 273. to 343. K.;AC,,,,,,
1-Hexene,592-41-6,31.0,304.,MM,"Forziati, Camin, et al., 1950",Based on data from 289. to 337. K.;AC,,,,,,
1-Octene,111-66-0,34.07,394.4,N/A,"Majer and Svoboda, 1985",,,,,,,
1-Octene,111-66-0,38.8,332.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 317. to 395. K. See alsoForziati, Camin, et al., 1950.;AC",,,,,,
1-Octene,111-66-0,39.5 ± 0.1,313.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
1-Octene,111-66-0,38.6 ± 0.1,328.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
1-Octene,111-66-0,37.6 ± 0.1,343.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
1-Octene,111-66-0,36.6 ± 0.1,358.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
1-Octene,111-66-0,35.8 ± 0.1,368.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
1-Octene,111-66-0,40.2,277.,MM,"Chickos, Hyman, et al., 1981",Based on data from 263. to 291. K.;AC,,,,,,
1-Octene,111-66-0,41.2,275.,HSA,"Chickos, Hyman, et al., 1981",Based on data from 260. to 291. K.;AC,,,,,,
1-Decene,872-05-9,43.8,398.,A,"Stephenson and Malanowski, 1987",Based on data from 383. to 445. K.;AC,,,,,,
1-Decene,872-05-9,45.1,375.,N/A,"Forziati, Camin, et al., 1950",Based on data from 360. to 445. K.;AC,,,,,,
1-Dodecene,112-41-4,51.1,411.,A,"Stephenson and Malanowski, 1987","Based on data from 396. to 493. K. See alsoForziati, Camin, et al., 1950.;AC",,,,,,
1-Tetradecene,1120-36-1,56.5,445.,A,"Stephenson and Malanowski, 1987","Based on data from 430. to 527. K. See alsoCamin and Rossini, 1955.;AC",,,,,,
1-Hexadecene,629-73-2,61.5,476.,A,"Stephenson and Malanowski, 1987","Based on data from 461. to 558. K. See alsoCamin, Forziati, et al., 1954.;AC",,,,,,
Octylcyclohexane,1795-15-9,62.7,382.,A,"Stephenson and Malanowski, 1987",Based on data from 367. to 399. K.;AC,,,,,,
